"drug","disease","classification","notes","drug_url","disease_url"
"Abacavir","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB01048","http://www.disease-ontology.org/term/DOID%3A635"
"Abiraterone","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB05812","http://www.disease-ontology.org/term/DOID%3A10283"
"Acamprosate","alcohol dependence","DM","(works as well as naltrexone)","http://www.drugbank.ca/drugs/DB00659","http://www.disease-ontology.org/term/DOID%3A0050741"
"Acarbose","type 2 diabetes mellitus","DM"," (glucosidase inhibitor)","http://www.drugbank.ca/drugs/DB00284","http://www.disease-ontology.org/term/DOID%3A9352"
"Acebutolol","hypertension","DM"," (cardioselective beta blocker","http://www.drugbank.ca/drugs/DB01193","http://www.disease-ontology.org/term/DOID%3A10763"
"Acetaminophen","migraine","SYM","","http://www.drugbank.ca/drugs/DB00316","http://www.disease-ontology.org/term/DOID%3A6364"
"Acetaminophen","osteoarthritis","SYM","","http://www.drugbank.ca/drugs/DB00316","http://www.disease-ontology.org/term/DOID%3A8398"
"Acetazolamide","epilepsy syndrome","NOT","hm. Can be used for seizures but not great drug","http://www.drugbank.ca/drugs/DB00819","http://www.disease-ontology.org/term/DOID%3A1826"
"Acetazolamide","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00819","http://www.disease-ontology.org/term/DOID%3A1686"
"Acetophenazine","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB01063","http://www.disease-ontology.org/term/DOID%3A5419"
"Acetylcysteine","chronic obstructive pulmonary disease","DM","","http://www.drugbank.ca/drugs/DB06151","http://www.disease-ontology.org/term/DOID%3A3083"
"Acetylsalicylic acid","Kawasaki disease","DM","","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A13378"
"Acetylsalicylic acid","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A3393"
"Acetylsalicylic acid","gout","NOT","not indicated. Asa can increase risk of gout","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A13189"
"Acetylsalicylic acid","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A10763"
