drug	disease	classification	notes	drug_url	disease_url
Acetylsalicylic acid	systemic lupus erythematosus	disease modifying		http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A9074
Alprazolam	systemic scleroderma	symptomatic (not clearly indicated)		http://www.drugbank.ca/drugs/DB00404	http://www.disease-ontology.org/term/DOID%3A418
Baclofen	multiple sclerosis	symptomatic 		http://www.drugbank.ca/drugs/DB00181	http://www.disease-ontology.org/term/DOID%3A2377
Bupropion	panic disorder	symptomatic		http://www.drugbank.ca/drugs/DB01156	http://www.disease-ontology.org/term/DOID%3A594
Captopril	rheumatoid arthritis	Symptomatic (Not Indicated)		http://www.drugbank.ca/drugs/DB01197	http://www.disease-ontology.org/term/DOID%3A7148
Cisplatin	hematologic cancer	Disease modifying		http://www.drugbank.ca/drugs/DB00515	http://www.disease-ontology.org/term/DOID%3A2531
Cladribine	hematologic cancer	Disease Modifying		http://www.drugbank.ca/drugs/DB00242	http://www.disease-ontology.org/term/DOID%3A2531
Clopidogrel	coronary artery disease	Disease modifying		http://www.drugbank.ca/drugs/DB00758	http://www.disease-ontology.org/term/DOID%3A3393
Cocaine	dental caries	DM (BUT TOXIC NI)		http://www.drugbank.ca/drugs/DB00907	http://www.disease-ontology.org/term/DOID%3A216
Conjugated Estrogens	osteoporosis	DM		http://www.drugbank.ca/drugs/DB00286	http://www.disease-ontology.org/term/DOID%3A11476
Dextroamphetamine	narcolepsy	symptomatic		http://www.drugbank.ca/drugs/DB01576	http://www.disease-ontology.org/term/DOID%3A8986
Dextrothyroxine	coronary artery disease	symptomatic (NI) 		http://www.drugbank.ca/drugs/DB00509	http://www.disease-ontology.org/term/DOID%3A3393
Epirubicin	liver cancer	DM		http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A3571
Ethinyl Estradiol	breast cancer	DM		http://www.drugbank.ca/drugs/DB00977	http://www.disease-ontology.org/term/DOID%3A1612
Etidronic acid	osteoporosis	DM		http://www.drugbank.ca/drugs/DB01077	http://www.disease-ontology.org/term/DOID%3A11476
Etoposide	hematologic cancer	DM		http://www.drugbank.ca/drugs/DB00773	http://www.disease-ontology.org/term/DOID%3A2531
Etoposide	muscle cancer	DM		http://www.drugbank.ca/drugs/DB00773	http://www.disease-ontology.org/term/DOID%3A4045
Flunisolide	allergic rhinitis	Sym		http://www.drugbank.ca/drugs/DB00180	http://www.disease-ontology.org/term/DOID%3A4481
Hydrochlorothiazide	hypertension	symptomatic		http://www.drugbank.ca/drugs/DB00999	http://www.disease-ontology.org/term/DOID%3A10763
Hydroxyurea	head and neck cancer	DM		http://www.drugbank.ca/drugs/DB01005	http://www.disease-ontology.org/term/DOID%3A11934
Ibuprofen	osteoarthritis	symptomatic		http://www.drugbank.ca/drugs/DB01050	http://www.disease-ontology.org/term/DOID%3A8398
Indinavir	acquired immunodeficiency syndrome	DM		http://www.drugbank.ca/drugs/DB00224	http://www.disease-ontology.org/term/DOID%3A635
L-DOPA	restless legs syndrome	symptomatic		http://www.drugbank.ca/drugs/DB01235	http://www.disease-ontology.org/term/DOID%3A0050425
Linagliptin	type 2 diabetes mellitus	Sym		http://www.drugbank.ca/drugs/DB08882	http://www.disease-ontology.org/term/DOID%3A9352
Meloxicam	rheumatoid arthritis	DM		http://www.drugbank.ca/drugs/DB00814	http://www.disease-ontology.org/term/DOID%3A7148
Metformin	kidney cancer	DM		http://www.drugbank.ca/drugs/DB00331	http://www.disease-ontology.org/term/DOID%3A263
Metoclopramide	prostate cancer	SYM		http://www.drugbank.ca/drugs/DB01233	http://www.disease-ontology.org/term/DOID%3A10283
Metoprolol	hypertension	symptomatic		http://www.drugbank.ca/drugs/DB00264	http://www.disease-ontology.org/term/DOID%3A10763
Mitoxantrone	prostate cancer	DM		http://www.drugbank.ca/drugs/DB01204	http://www.disease-ontology.org/term/DOID%3A10283
Morphine	coronary artery disease	symptomatic		http://www.drugbank.ca/drugs/DB00295	http://www.disease-ontology.org/term/DOID%3A3393
Mycophenolic acid	psoriasis	DM		http://www.drugbank.ca/drugs/DB01024	http://www.disease-ontology.org/term/DOID%3A8893
Nisoldipine	hypertension	SYM		http://www.drugbank.ca/drugs/DB00401	http://www.disease-ontology.org/term/DOID%3A10763
Omeprazole	systemic scleroderma	SYM		http://www.drugbank.ca/drugs/DB00338	http://www.disease-ontology.org/term/DOID%3A418
Orlistat	obesity	DM		http://www.drugbank.ca/drugs/DB01083	http://www.disease-ontology.org/term/DOID%3A9970
Oxandrolone	osteoporosis	DM		http://www.drugbank.ca/drugs/DB00621	http://www.disease-ontology.org/term/DOID%3A11476
Prazosin	hypertension	symptomatic		http://www.drugbank.ca/drugs/DB00457	http://www.disease-ontology.org/term/DOID%3A10763
Prednisolone	ankylosing spondylitis	DM		http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A7147
Prednisolone	chronic obstructive pulmonary disease	DM		http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A3083
Prednisolone	multiple sclerosis	symptomatic		http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A2377
Prednisone	atopic dermatitis	DM		http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A3310
Propofol	epilepsy syndrome	symptomatic		http://www.drugbank.ca/drugs/DB00818	http://www.disease-ontology.org/term/DOID%3A1826
Quinapril	hypertension	SYM		http://www.drugbank.ca/drugs/DB00881	http://www.disease-ontology.org/term/DOID%3A10763
Sibutramine	obesity	DM		http://www.drugbank.ca/drugs/DB01105	http://www.disease-ontology.org/term/DOID%3A9970
Thiotepa	sarcoma	DM		http://www.drugbank.ca/drugs/DB04572	http://www.disease-ontology.org/term/DOID%3A1115
Tiagabine	bipolar disorder	symptomatic  (NI) 		http://www.drugbank.ca/drugs/DB00906	http://www.disease-ontology.org/term/DOID%3A3312
Tirofiban	coronary artery disease	DM		http://www.drugbank.ca/drugs/DB00775	http://www.disease-ontology.org/term/DOID%3A3393
Topotecan	peripheral nervous system neoplasm	DM		http://www.drugbank.ca/drugs/DB01030	http://www.disease-ontology.org/term/DOID%3A1192
Triamcinolone	psoriatic arthritis	SYM		http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A9008
Vitamin C	prostate cancer	DM		http://www.drugbank.ca/drugs/DB00126	http://www.disease-ontology.org/term/DOID%3A10283
Zileuton	asthma	SYM		http://www.drugbank.ca/drugs/DB00744	http://www.disease-ontology.org/term/DOID%3A2841
