drug	disease	ajg	csh	agree	drug_url	disease_url
Acetylsalicylic acid	systemic lupus erythematosus	DM	DM	1	http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A9074
Alprazolam	systemic scleroderma	SYM	SYM	1	http://www.drugbank.ca/drugs/DB00404	http://www.disease-ontology.org/term/DOID%3A418
Baclofen	multiple sclerosis	SYM	SYM	1	http://www.drugbank.ca/drugs/DB00181	http://www.disease-ontology.org/term/DOID%3A2377
Bupropion	panic disorder	SYM	DM	0	http://www.drugbank.ca/drugs/DB01156	http://www.disease-ontology.org/term/DOID%3A594
Captopril	rheumatoid arthritis	NOT	NOT	1	http://www.drugbank.ca/drugs/DB01197	http://www.disease-ontology.org/term/DOID%3A7148
Cisplatin	hematologic cancer	DM	DM	1	http://www.drugbank.ca/drugs/DB00515	http://www.disease-ontology.org/term/DOID%3A2531
Cladribine	hematologic cancer	DM	DM	1	http://www.drugbank.ca/drugs/DB00242	http://www.disease-ontology.org/term/DOID%3A2531
Clopidogrel	coronary artery disease	DM	DM	1	http://www.drugbank.ca/drugs/DB00758	http://www.disease-ontology.org/term/DOID%3A3393
Cocaine	dental caries	NOT	SYM	0	http://www.drugbank.ca/drugs/DB00907	http://www.disease-ontology.org/term/DOID%3A216
Conjugated Estrogens	osteoporosis	DM	DM	1	http://www.drugbank.ca/drugs/DB00286	http://www.disease-ontology.org/term/DOID%3A11476
Dextroamphetamine	narcolepsy	SYM	SYM	1	http://www.drugbank.ca/drugs/DB01576	http://www.disease-ontology.org/term/DOID%3A8986
Dextrothyroxine	coronary artery disease	NOT	DM	0	http://www.drugbank.ca/drugs/DB00509	http://www.disease-ontology.org/term/DOID%3A3393
Epirubicin	liver cancer	DM	DM	1	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A3571
Ethinyl Estradiol	breast cancer	DM	DM	1	http://www.drugbank.ca/drugs/DB00977	http://www.disease-ontology.org/term/DOID%3A1612
Etidronic acid	osteoporosis	DM	DM	1	http://www.drugbank.ca/drugs/DB01077	http://www.disease-ontology.org/term/DOID%3A11476
Etoposide	hematologic cancer	DM	DM	1	http://www.drugbank.ca/drugs/DB00773	http://www.disease-ontology.org/term/DOID%3A2531
Etoposide	muscle cancer	DM	DM	1	http://www.drugbank.ca/drugs/DB00773	http://www.disease-ontology.org/term/DOID%3A4045
Flunisolide	allergic rhinitis	SYM	SYM	1	http://www.drugbank.ca/drugs/DB00180	http://www.disease-ontology.org/term/DOID%3A4481
Hydrochlorothiazide	hypertension	SYM	DM	0	http://www.drugbank.ca/drugs/DB00999	http://www.disease-ontology.org/term/DOID%3A10763
Hydroxyurea	head and neck cancer	DM	DM	1	http://www.drugbank.ca/drugs/DB01005	http://www.disease-ontology.org/term/DOID%3A11934
Ibuprofen	osteoarthritis	SYM	SYM	1	http://www.drugbank.ca/drugs/DB01050	http://www.disease-ontology.org/term/DOID%3A8398
Indinavir	acquired immunodeficiency syndrome	DM	DM	1	http://www.drugbank.ca/drugs/DB00224	http://www.disease-ontology.org/term/DOID%3A635
L-DOPA	restless legs syndrome	SYM	SYM	1	http://www.drugbank.ca/drugs/DB01235	http://www.disease-ontology.org/term/DOID%3A0050425
Linagliptin	type 2 diabetes mellitus	SYM	DM	0	http://www.drugbank.ca/drugs/DB08882	http://www.disease-ontology.org/term/DOID%3A9352
Meloxicam	rheumatoid arthritis	DM	SYM	0	http://www.drugbank.ca/drugs/DB00814	http://www.disease-ontology.org/term/DOID%3A7148
Metformin	kidney cancer	DM	SYM	0	http://www.drugbank.ca/drugs/DB00331	http://www.disease-ontology.org/term/DOID%3A263
Metoclopramide	prostate cancer	SYM	SYM	1	http://www.drugbank.ca/drugs/DB01233	http://www.disease-ontology.org/term/DOID%3A10283
Metoprolol	hypertension	SYM	DM	0	http://www.drugbank.ca/drugs/DB00264	http://www.disease-ontology.org/term/DOID%3A10763
Mitoxantrone	prostate cancer	DM	DM	1	http://www.drugbank.ca/drugs/DB01204	http://www.disease-ontology.org/term/DOID%3A10283
Morphine	coronary artery disease	SYM	SYM	1	http://www.drugbank.ca/drugs/DB00295	http://www.disease-ontology.org/term/DOID%3A3393
Mycophenolic acid	psoriasis	DM	DM	1	http://www.drugbank.ca/drugs/DB01024	http://www.disease-ontology.org/term/DOID%3A8893
Nisoldipine	hypertension	SYM	DM	0	http://www.drugbank.ca/drugs/DB00401	http://www.disease-ontology.org/term/DOID%3A10763
Omeprazole	systemic scleroderma	SYM	SYM	1	http://www.drugbank.ca/drugs/DB00338	http://www.disease-ontology.org/term/DOID%3A418
