drug	disease	classification	notes	drug_url	disease_url
Acetylsalicylic acid	systemic lupus erythematosus	disease-modifying		http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A9074
Alprazolam	systemic scleroderma	symptomatic		http://www.drugbank.ca/drugs/DB00404	http://www.disease-ontology.org/term/DOID%3A418
Baclofen	multiple sclerosis	symptomatic		http://www.drugbank.ca/drugs/DB00181	http://www.disease-ontology.org/term/DOID%3A2377
Bupropion	panic disorder	disease-modifying	if it reduces "flares" of panic attacks	http://www.drugbank.ca/drugs/DB01156	http://www.disease-ontology.org/term/DOID%3A594
Captopril	rheumatoid arthritis	?	some research in rats says this may be helpful in RA	http://www.drugbank.ca/drugs/DB01197	http://www.disease-ontology.org/term/DOID%3A7148
Cisplatin	hematologic cancer	disease-modifying		http://www.drugbank.ca/drugs/DB00515	http://www.disease-ontology.org/term/DOID%3A2531
Cladribine	hematologic cancer	disease-modifying		http://www.drugbank.ca/drugs/DB00242	http://www.disease-ontology.org/term/DOID%3A2531
Clopidogrel	coronary artery disease	disease-modifying	helps to prevent disease worsening	http://www.drugbank.ca/drugs/DB00758	http://www.disease-ontology.org/term/DOID%3A3393
Cocaine	dental caries	symptomatic		http://www.drugbank.ca/drugs/DB00907	http://www.disease-ontology.org/term/DOID%3A216
Conjugated Estrogens	osteoporosis	disease-modifying		http://www.drugbank.ca/drugs/DB00286	http://www.disease-ontology.org/term/DOID%3A11476
Dextroamphetamine	narcolepsy	symptomatic		http://www.drugbank.ca/drugs/DB01576	http://www.disease-ontology.org/term/DOID%3A8986
Dextrothyroxine	coronary artery disease	disease-modifying	cholesterol lowering agent; pulled due to cardiac side effects	http://www.drugbank.ca/drugs/DB00509	http://www.disease-ontology.org/term/DOID%3A3393
Epirubicin	liver cancer	disease-modifying		http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A3571
Ethinyl Estradiol	breast cancer	disease-modifying	estrogens can stimulate progression of ER+BrCa but high-dose estrogens may suppress their growth	http://www.drugbank.ca/drugs/DB00977	http://www.disease-ontology.org/term/DOID%3A1612
Etidronic acid	osteoporosis	disease-modifying		http://www.drugbank.ca/drugs/DB01077	http://www.disease-ontology.org/term/DOID%3A11476
Etoposide	hematologic cancer	disease-modifying		http://www.drugbank.ca/drugs/DB00773	http://www.disease-ontology.org/term/DOID%3A2531
Etoposide	muscle cancer	disease-modifying		http://www.drugbank.ca/drugs/DB00773	http://www.disease-ontology.org/term/DOID%3A4045
Flunisolide	allergic rhinitis	symptomatic		http://www.drugbank.ca/drugs/DB00180	http://www.disease-ontology.org/term/DOID%3A4481
Hydrochlorothiazide	hypertension	disease-modifying		http://www.drugbank.ca/drugs/DB00999	http://www.disease-ontology.org/term/DOID%3A10763
Hydroxyurea	head and neck cancer	disease-modifying		http://www.drugbank.ca/drugs/DB01005	http://www.disease-ontology.org/term/DOID%3A11934
Ibuprofen	osteoarthritis	symptomatic 		http://www.drugbank.ca/drugs/DB01050	http://www.disease-ontology.org/term/DOID%3A8398
Indinavir	acquired immunodeficiency syndrome	disease-modifying		http://www.drugbank.ca/drugs/DB00224	http://www.disease-ontology.org/term/DOID%3A635
L-DOPA	restless legs syndrome	symptomatic 		http://www.drugbank.ca/drugs/DB01235	http://www.disease-ontology.org/term/DOID%3A0050425
Linagliptin	type 2 diabetes mellitus	disease-modifying		http://www.drugbank.ca/drugs/DB08882	http://www.disease-ontology.org/term/DOID%3A9352
Meloxicam	rheumatoid arthritis	symptomatic		http://www.drugbank.ca/drugs/DB00814	http://www.disease-ontology.org/term/DOID%3A7148
Metformin	kidney cancer	symptomatic	some studies suggest it may be beneficial but not one from 2013	http://www.drugbank.ca/drugs/DB00331	http://www.disease-ontology.org/term/DOID%3A263
Metoclopramide	prostate cancer	? Symptomatic	cant find anything that suggests it is disease modifying	http://www.drugbank.ca/drugs/DB01233	http://www.disease-ontology.org/term/DOID%3A10283
Metoprolol	hypertension	disease-modifying		http://www.drugbank.ca/drugs/DB00264	http://www.disease-ontology.org/term/DOID%3A10763
Mitoxantrone	prostate cancer	disease-modifying		http://www.drugbank.ca/drugs/DB01204	http://www.disease-ontology.org/term/DOID%3A10283
Morphine	coronary artery disease	symptomatic		http://www.drugbank.ca/drugs/DB00295	http://www.disease-ontology.org/term/DOID%3A3393
Mycophenolic acid	psoriasis	disease-modifying		http://www.drugbank.ca/drugs/DB01024	http://www.disease-ontology.org/term/DOID%3A8893
Nisoldipine	hypertension	disease-modifying		http://www.drugbank.ca/drugs/DB00401	http://www.disease-ontology.org/term/DOID%3A10763
Omeprazole	systemic scleroderma	? Symptomatic	although could be considered disease mod if it protects against esophogeal complications of scleroderma	http://www.drugbank.ca/drugs/DB00338	http://www.disease-ontology.org/term/DOID%3A418
Orlistat	obesity	disease-modifying	prevents absorption of fats 	http://www.drugbank.ca/drugs/DB01083	http://www.disease-ontology.org/term/DOID%3A9970
Oxandrolone	osteoporosis	symptomatic	relieves bone pain	http://www.drugbank.ca/drugs/DB00621	http://www.disease-ontology.org/term/DOID%3A11476
Prazosin	hypertension	disease-modifying		http://www.drugbank.ca/drugs/DB00457	http://www.disease-ontology.org/term/DOID%3A10763
Prednisolone	ankylosing spondylitis	symptomatic		http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A7147
Prednisolone	chronic obstructive pulmonary disease	? Disease modifying		http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A3083
Prednisolone	multiple sclerosis	symptomatic		http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A2377
Prednisone	atopic dermatitis	symptomatic		http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A3310
Propofol	epilepsy syndrome	symptomatic		http://www.drugbank.ca/drugs/DB00818	http://www.disease-ontology.org/term/DOID%3A1826
Quinapril	hypertension	disease-modifying		http://www.drugbank.ca/drugs/DB00881	http://www.disease-ontology.org/term/DOID%3A10763
Sibutramine	obesity	disease-modifying	enhances satiety via CNS	http://www.drugbank.ca/drugs/DB01105	http://www.disease-ontology.org/term/DOID%3A9970
Thiotepa	sarcoma	disease-modifying		http://www.drugbank.ca/drugs/DB04572	http://www.disease-ontology.org/term/DOID%3A1115
