disease	drug	AJG	CSH	PK	AJG_notes	CSH_notes	PK_notes	doid_id	drugbank_id	majority
Alzheimer's disease	Benzatropine	SYM	SYM	SYM			I'm not aware of any indication here, but will defer to CSH and AJG who agreed	DOID:10652	DB00245	SYM
Alzheimer's disease	Biperiden	NOT	SYM	NOT			"is used to ""cause"" alzheimer's in rats"	DOID:10652	DB00810	NOT
Alzheimer's disease	Carbidopa	NOT	NOT	NOT				DOID:10652	DB00190	NOT
Alzheimer's disease	Donepezil	DM	SYM	DM			agreed with AJG. Though efficacy is incredibly low, it is designed to slow disease progression (downstream biology) rather than treat any current symptom per se	DOID:10652	DB00843	DM
Alzheimer's disease	Galantamine	SYM	SYM	DM			same as donepezil	DOID:10652	DB00674	SYM
Alzheimer's disease	Haloperidol	NOT	SYM	SYM				DOID:10652	DB00502	SYM
Alzheimer's disease	Memantine	SYM	SYM	DM			"""neuroprotective"", doesn't treat any symptom"	DOID:10652	DB01043	SYM
Alzheimer's disease	Pramipexole	NOT	NOT	NOT				DOID:10652	DB00413	NOT
Alzheimer's disease	Procyclidine	NOT	NOT	NOT				DOID:10652	DB00387	NOT
Alzheimer's disease	Quetiapine	NOT	SYM	SYM				DOID:10652	DB01224	SYM
Alzheimer's disease	Rivastigmine	SYM	SYM	DM			same as donepezil	DOID:10652	DB00989	SYM
Alzheimer's disease	Ropinirole	NOT	SYM	SYM				DOID:10652	DB00268	SYM
Alzheimer's disease	Scopolamine	NOT	NOT	NOT				DOID:10652	DB00747	NOT
Alzheimer's disease	Selegiline	SYM	NOT	SYM				DOID:10652	DB01037	SYM
Alzheimer's disease	Valproic Acid	NOT	NOT	NOT				DOID:10652	DB00313	NOT
Alzheimer's disease	Vitamin E	NOT	NOT	NOT				DOID:10652	DB00163	NOT
Barrett's esophagus	Esomeprazole	DM	DM	DM	preventative			DOID:9206	DB00736	DM
Barrett's esophagus	Omeprazole	DM	DM	DM				DOID:9206	DB00338	DM
Crohn's disease	Atropine	NOT	SYM	SYM			diarrhea, per medscape	DOID:8778	DB00572	SYM
Crohn's disease	Azathioprine	DM	DM	DM				DOID:8778	DB00993	DM
Crohn's disease	Balsalazide	DM	DM	DM				DOID:8778	DB01014	DM
Crohn's disease	Folic Acid	NOT	NOT	NOT	Used to overcome side effect of medicine	rx for ass't conditions, not that disease itself		DOID:8778	DB00158	NOT
Crohn's disease	Hyoscyamine	SYM	SYM	SYM				DOID:8778	DB00424	SYM
Crohn's disease	Mercaptopurine	DM	DM	DM				DOID:8778	DB01033	DM
Crohn's disease	Mesalazine	DM	DM	DM				DOID:8778	DB00244	DM
Crohn's disease	Metronidazole	DM	NOT	NOT				DOID:8778	DB00916	NOT
Crohn's disease	Prednisone	DM	SYM	DM				DOID:8778	DB00635	DM
Crohn's disease	Sulfasalazine	DM	DM	DM				DOID:8778	DB00795	DM
Gilles de la Tourette syndrome	Clonidine	SYM	SYM	SYM			assuming concurrent OCD or psychosis	DOID:11119	DB00575	SYM
Gilles de la Tourette syndrome	Haloperidol	NOT	SYM	SYM			assuming concurrent OCD or psychosis	DOID:11119	DB00502	SYM
Gilles de la Tourette syndrome	Mecamylamine	SYM	SYM	SYM			assuming concurrent OCD or psychosis	DOID:11119	DB00657	SYM
Gilles de la Tourette syndrome	Olanzapine	SYM	SYM	SYM			assuming concurrent OCD or psychosis	DOID:11119	DB00334	SYM
Gilles de la Tourette syndrome	Pergolide	SYM	NOT	SYM		w/d from market	re: CSH comment see ammendment 1	DOID:11119	DB01186	SYM
Gilles de la Tourette syndrome	Perphenazine	SYM	SYM	SYM			assuming concurrent OCD or psychosis	DOID:11119	DB00850	SYM
Gilles de la Tourette syndrome	Pimozide	SYM	SYM	SYM			assuming concurrent OCD or psychosis	DOID:11119	DB01100	SYM
Gilles de la Tourette syndrome	Risperidone	SYM	SYM	SYM			assuming concurrent OCD or psychosis	DOID:11119	DB00734	SYM
Gilles de la Tourette syndrome	Ziprasidone	SYM	SYM	SYM			assuming concurrent OCD or psychosis	DOID:11119	DB00246	SYM
Graves' disease	Dextrothyroxine	SYM	NOT	NOT				DOID:12361	DB00509	NOT
Graves' disease	Levothyroxine	SYM	NOT	NOT	Used to treat effect of thyroid dysfunction but doesn't treat underlying disease	possibly for hypothyroid grave's		DOID:12361	DB00451	NOT
Graves' disease	Liothyronine	NOT	NOT	NOT	used after treatment			DOID:12361	DB00279	NOT
Graves' disease	Liotrix	NOT	NOT	NOT	Treats side effect of treatment			DOID:12361	DB01583	NOT
Graves' disease	Methimazole	DM	DM	DM				DOID:12361	DB00763	DM
Graves' disease	Propylthiouracil	DM	DM	DM				DOID:12361	DB00550	DM
Kawasaki disease	Acetylsalicylic acid	DM	DM	DM				DOID:13378	DB00945	DM
Paget's disease of bone	Alendronate	DM	DM	DM				DOID:5408	DB00630	DM
Paget's disease of bone	Etidronic acid	DM	DM	DM				DOID:5408	DB01077	DM
Paget's disease of bone	Pamidronate	DM	DM	DM				DOID:5408	DB00282	DM
Paget's disease of bone	Risedronate	DM	DM	DM				DOID:5408	DB00884	DM
Paget's disease of bone	Tiludronate	DM	DM	DM				DOID:5408	DB01133	DM
Paget's disease of bone	Zoledronate	DM	DM	DM				DOID:5408	DB00399	DM
Parkinson's disease	Amantadine	SYM	DM	SYM			does not alter the downstream progression	DOID:14330	DB00915	SYM
Parkinson's disease	Apomorphine	SYM	SYM	SYM				DOID:14330	DB00714	SYM
Parkinson's disease	Atropine	NOT	SYM	SYM			same as benzatropine	DOID:14330	DB00572	SYM
Parkinson's disease	Benzatropine	SYM	SYM	SYM				DOID:14330	DB00245	SYM
Parkinson's disease	Biperiden	SYM	SYM	SYM				DOID:14330	DB00810	SYM
Parkinson's disease	Bromocriptine	SYM	SYM	SYM				DOID:14330	DB01200	SYM
Parkinson's disease	Cabergoline	SYM	SYM	SYM				DOID:14330	DB00248	SYM
Parkinson's disease	Carbidopa	SYM	SYM	SYM	Not even really symptomatic- helps with pharmacokinetics of levodopa		agree with AJG, I would have put NOT, but will not change consensus	DOID:14330	DB00190	SYM
Parkinson's disease	Citalopram	SYM	SYM	NOT			who treats parkinson's with SSRIs?	DOID:14330	DB00215	SYM
Parkinson's disease	Clonazepam	SYM	SYM	SYM				DOID:14330	DB01068	SYM
Parkinson's disease	Dimenhydrinate	SYM	NOT	NOT				DOID:14330	DB00985	NOT
Parkinson's disease	Diphenhydramine	NOT	SYM	SYM				DOID:14330	DB01075	SYM
Parkinson's disease	Entacapone	SYM	SYM	SYM				DOID:14330	DB00494	SYM
Parkinson's disease	Escitalopram	SYM	SYM	NOT			who treats parkinson's with SSRIs?	DOID:14330	DB01175	SYM
Parkinson's disease	Fludrocortisone	NOT	SYM	SYM			for orthostatic hypotension; however very little evidence of efficacy	DOID:14330	DB00687	SYM
Parkinson's disease	Gabapentin	NOT	SYM	SYM			http://www.ncbi.nlm.nih.gov/pubmed/15190235	DOID:14330	DB00996	SYM
Parkinson's disease	Hyoscyamine	SYM	SYM	SYM				DOID:14330	DB00424	SYM
Parkinson's disease	L-DOPA	SYM	SYM	SYM				DOID:14330	DB01235	SYM
Parkinson's disease	Memantine	SYM	SYM	SYM				DOID:14330	DB01043	SYM
Parkinson's disease	Modafinil	SYM	SYM	SYM				DOID:14330	DB00745	SYM
Parkinson's disease	Pergolide	SYM	NOT	SYM				DOID:14330	DB01186	SYM
Parkinson's disease	Pramipexole	SYM	SYM	SYM				DOID:14330	DB00413	SYM
Parkinson's disease	Procyclidine	SYM	SYM	SYM				DOID:14330	DB00387	SYM
Parkinson's disease	Quetiapine	NOT	SYM	NOT			treats side effects of other drugs, not parkinson symptoms	DOID:14330	DB01224	NOT
Parkinson's disease	Ramelteon	SYM	SYM	SYM				DOID:14330	DB00980	SYM
Parkinson's disease	Rasagiline	SYM	SYM	SYM				DOID:14330	DB01367	SYM
Parkinson's disease	Rivastigmine	SYM	SYM	SYM				DOID:14330	DB00989	SYM
Parkinson's disease	Ropinirole	SYM	SYM	SYM				DOID:14330	DB00268	SYM
Parkinson's disease	Rotigotine	SYM	SYM	SYM				DOID:14330	DB05271	SYM
Parkinson's disease	Scopolamine	NOT	NOT	NOT				DOID:14330	DB00747	NOT
Parkinson's disease	Selegiline	SYM	SYM	SYM				DOID:14330	DB01037	SYM
Parkinson's disease	Sertraline	SYM	SYM	NOT			who treats parkinson's with SSRIs?	DOID:14330	DB01104	SYM
Parkinson's disease	Tolcapone	SYM	SYM	SYM				DOID:14330	DB00323	SYM
Parkinson's disease	Trihexyphenidyl	SYM	SYM	SYM				DOID:14330	DB00376	SYM
Parkinson's disease	Zolpidem	NOT	SYM	NOT			not enough evidence yet, I feel, especially given evidence that zolpidem may lead to parkinson's	DOID:14330	DB00425	NOT
acquired immunodeficiency syndrome	Abacavir	DM	DM	DM				DOID:635	DB01048	DM
acquired immunodeficiency syndrome	Aciclovir	NOT	DM	NOT		newer data shows it may slow diseae progression	only slows disease progression in HSV-positive patients (which is actually a very small subset of AIDS in the US, even though it is a large subset of AIDS patients in africa)	DOID:635	DB00787	NOT
acquired immunodeficiency syndrome	Amprenavir	DM	DM	DM				DOID:635	DB00701	DM
acquired immunodeficiency syndrome	Delavirdine	DM	DM	DM				DOID:635	DB00705	DM
acquired immunodeficiency syndrome	Didanosine	DM	DM	DM				DOID:635	DB00900	DM
acquired immunodeficiency syndrome	Doxorubicin	NOT	DM	NOT			although doxorubicin attached to anti-HIV antibodies is promising, and doxorubicin treats many HIV-related cancers, doxorubicin per se does not treat HIV per se	DOID:635	DB00997	NOT
acquired immunodeficiency syndrome	Efavirenz	DM	DM	DM				DOID:635	DB00625	DM
acquired immunodeficiency syndrome	Epirubicin	NOT	DM	NOT	Usec to treat complicaton of AIDS		same as doxorubicin	DOID:635	DB00445	NOT
acquired immunodeficiency syndrome	Fluconazole	NOT	NOT	NOT	Treats secondary infection found in AIDS	tough. used for infections ass't with HIV but not HIV itself	agree with both notes	DOID:635	DB00196	NOT
acquired immunodeficiency syndrome	Ganciclovir	NOT	DM	NOT	USEED TO TREAT COMPLICATION		same a acyclovir (aciclovir)	DOID:635	DB01004	NOT
acquired immunodeficiency syndrome	Indinavir	DM	DM	DM		Pilot classification: disease-modifying; Pilot notes:		DOID:635	DB00224	DM
acquired immunodeficiency syndrome	Lamivudine	DM	DM	DM				DOID:635	DB00709	DM
acquired immunodeficiency syndrome	Lopinavir	DM	DM	DM				DOID:635	DB01601	DM
acquired immunodeficiency syndrome	Nelfinavir	DM	DM	DM				DOID:635	DB00220	DM
acquired immunodeficiency syndrome	Nevirapine	DM	DM	DM				DOID:635	DB00238	DM
