drug	disease	classification	notes	drug_url	disease_url
Abacavir	acquired immunodeficiency syndrome			http://www.drugbank.ca/drugs/DB01048	http://www.disease-ontology.org/term/DOID%3A635
Abiraterone	prostate cancer			http://www.drugbank.ca/drugs/DB05812	http://www.disease-ontology.org/term/DOID%3A10283
Acamprosate	alcohol dependence			http://www.drugbank.ca/drugs/DB00659	http://www.disease-ontology.org/term/DOID%3A0050741
Acarbose	type 2 diabetes mellitus			http://www.drugbank.ca/drugs/DB00284	http://www.disease-ontology.org/term/DOID%3A9352
Acebutolol	hypertension			http://www.drugbank.ca/drugs/DB01193	http://www.disease-ontology.org/term/DOID%3A10763
Acetaminophen	migraine			http://www.drugbank.ca/drugs/DB00316	http://www.disease-ontology.org/term/DOID%3A6364
Acetaminophen	osteoarthritis			http://www.drugbank.ca/drugs/DB00316	http://www.disease-ontology.org/term/DOID%3A8398
Acetazolamide	epilepsy syndrome			http://www.drugbank.ca/drugs/DB00819	http://www.disease-ontology.org/term/DOID%3A1826
Acetazolamide	glaucoma			http://www.drugbank.ca/drugs/DB00819	http://www.disease-ontology.org/term/DOID%3A1686
Acetophenazine	schizophrenia			http://www.drugbank.ca/drugs/DB01063	http://www.disease-ontology.org/term/DOID%3A5419
Acetylcysteine	chronic obstructive pulmonary disease			http://www.drugbank.ca/drugs/DB06151	http://www.disease-ontology.org/term/DOID%3A3083
Acetylsalicylic acid	Kawasaki disease			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A13378
Acetylsalicylic acid	coronary artery disease			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A3393
Acetylsalicylic acid	gout			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A13189
Acetylsalicylic acid	hypertension			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10763
Acetylsalicylic acid	migraine			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A6364
Acetylsalicylic acid	osteoarthritis			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A8398
Acetylsalicylic acid	rheumatoid arthritis			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A7148
Acetylsalicylic acid	systemic lupus erythematosus	DM	Pilot classification: disease-modifying; Pilot notes: 	http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A9074
