doid_code	drugbank_id	resource	drugbank_name	doid_name
DOID:0014667	DB00091	medi_lps	Cyclosporine	disease of metabolism
DOID:0014667	DB00117	medi_lps	L-Histidine	disease of metabolism
DOID:0014667	DB00121	medi_hps	Biotin	disease of metabolism
DOID:0014667	DB00151	medi_lps	L-Cysteine	disease of metabolism
DOID:0014667	DB00165	medi_lps	Pyridoxine	disease of metabolism
DOID:0014667	DB00565	medi_lps	Cisatracurium Besylate	disease of metabolism
DOID:0014667	DB00583	medi_lps	L-Carnitine	disease of metabolism
DOID:0014667	DB00732	medi_lps	Atracurium	disease of metabolism
DOID:0014667	DB00734	medi_lps	Risperidone	disease of metabolism
DOID:0014667	DB00794	medi_lps	Primidone	disease of metabolism
DOID:0014667	DB00847	medi_lps	Cysteamine	disease of metabolism
DOID:0014667	DB00905	medi_lps	Bimatoprost	disease of metabolism
DOID:0014667	DB00935	medi_lps	Oxymetazoline	disease of metabolism
DOID:0014667	DB01440	medi_lps	Gamma Hydroxybutyric Acid	disease of metabolism
DOID:0014667	DB02110	medi_lps	Protoporphyrin Ix Containing Co	disease of metabolism
DOID:0014667	DB02577	medi_lps	Mesoheme	disease of metabolism
DOID:0014667	DB02648	medi_lps	(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium	disease of metabolism
DOID:0014667	DB02750	medi_lps	S-(Methylmercury)-L-Cysteine	disease of metabolism
DOID:0014667	DB02772	medi_lps	Sucrose	disease of metabolism
DOID:0014667	DB03201	medi_lps	D-Cysteine	disease of metabolism
DOID:0014667	DB03934	medi_lps	Protoporphyrin Ix Containing Zn	disease of metabolism
DOID:0014667	DB04650	medi_hps	5-[(3AS,4R,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOIC ACID	disease of metabolism
DOID:0050117	DB00811	medi_lps	Ribavirin	disease by infectious agent
DOID:0050127	DB00126	medi_lps	Vitamin C	sinusitis
DOID:0050127	DB00218	ehrlink	Moxifloxacin	sinusitis
DOID:0050127	DB00218	medi_hps	Moxifloxacin	sinusitis
DOID:0050127	DB00244	medi_lps	Mesalazine	sinusitis
DOID:0050127	DB00254	medi_hps	Doxycycline	sinusitis
DOID:0050127	DB00405	medi_hps	Dexbrompheniramine	sinusitis
DOID:0050127	DB00417	medi_hps	Penicillin V	sinusitis
DOID:0050127	DB00535	ehrlink	Cefdinir	sinusitis
DOID:0050127	DB00535	medi_hps	Cefdinir	sinusitis
DOID:0050127	DB00537	ehrlink	Ciprofloxacin	sinusitis
DOID:0050127	DB00537	medi_hps	Ciprofloxacin	sinusitis
DOID:0050127	DB00668	labeledin	Epinephrine	sinusitis
DOID:0050127	DB00668	medi_lps	Epinephrine	sinusitis
DOID:0050127	DB00671	medi_hps	Cefixime	sinusitis
DOID:0050127	DB00685	medi_hps	Trovafloxacin	sinusitis
DOID:0050127	DB00764	medi_hps	Mometasone	sinusitis
DOID:0050127	DB00835	medi_hps	Brompheniramine	sinusitis
DOID:0050127	DB00852	medi_hps	Pseudoephedrine	sinusitis
DOID:0050127	DB00935	ehrlink	Oxymetazoline	sinusitis
DOID:0050127	DB00976	medi_lps	Telithromycin	sinusitis
DOID:0050127	DB01015	medi_lps	Sulfamethoxazole	sinusitis
DOID:0050127	DB01017	medi_lps	Minocycline	sinusitis
DOID:0050127	DB01060	ehrlink	Amoxicillin	sinusitis
DOID:0050127	DB01060	medi_hps	Amoxicillin	sinusitis
DOID:0050127	DB01112	medi_hps	Cefuroxime	sinusitis
DOID:0050127	DB01137	ehrlink	Levofloxacin	sinusitis
DOID:0050127	DB01137	medi_lps	Levofloxacin	sinusitis
DOID:0050127	DB01165	ehrlink	Ofloxacin	sinusitis
DOID:0050127	DB01165	medi_lps	Ofloxacin	sinusitis
DOID:0050127	DB01211	medi_hps	Clarithromycin	sinusitis
DOID:0050127	DB01364	medi_hps	Ephedrine	sinusitis
DOID:0050127	DB01416	ehrlink	Cefpodoxime	sinusitis
DOID:0050127	DB01416	medi_hps	Cefpodoxime	sinusitis
DOID:0050127	DB03034	ehrlink	Dextrofloxacine	sinusitis
DOID:0050127	DB03034	medi_lps	Dextrofloxacine	sinusitis
DOID:0050127	DB05488	ehrlink	99mTc-ciprofloxacin	sinusitis
DOID:0050127	DB05488	medi_hps	99mTc-ciprofloxacin	sinusitis
DOID:0050127	DB06711	medi_hps	Naphazoline	sinusitis
DOID:0050133	DB00741	medi_lps	Hydrocortisone	superficial mycosis
DOID:0050133	DB07886	medi_lps	(11alpha,14beta)-11,17,21-trihydroxypregn-4-ene-3,20-dione	superficial mycosis
DOID:0050152	DB00501	medi_lps	Cimetidine	aspiration pneumonia
DOID:0050152	DB00635	labeledin	Prednisone	aspiration pneumonia
DOID:0050152	DB00860	labeledin	Prednisolone	aspiration pneumonia
