doid_code	drugbank_id	resource
DOID:1781	DB00451	labeledin
DOID:1781	DB00509	labeledin
DOID:1781	DB01583	labeledin
DOID:7148	DB00620	labeledin
DOID:986	DB00620	labeledin
DOID:2355	DB00620	labeledin
DOID:9008	DB00620	labeledin
DOID:2841	DB00620	labeledin
DOID:8577	DB00620	labeledin
DOID:3310	DB00620	labeledin
DOID:2531	DB00620	labeledin
DOID:9074	DB00620	labeledin
DOID:2377	DB00620	labeledin
DOID:7147	DB00620	labeledin
DOID:1319	DB00620	labeledin
DOID:2841	DB00764	labeledin
DOID:1459	DB00279	labeledin
DOID:1459	DB01583	labeledin
DOID:1826	DB01202	labeledin
DOID:3312	DB00246	labeledin
DOID:7148	DB00993	labeledin
DOID:14330	DB01367	labeledin
DOID:14330	DB03894	labeledin
DOID:6364	DB00315	labeledin
DOID:7148	DB00482	labeledin
DOID:7147	DB00482	labeledin
DOID:6364	DB00952	labeledin
DOID:2355	DB00443	labeledin
DOID:2355	DB01234	labeledin
DOID:9008	DB00443	labeledin
DOID:9008	DB01234	labeledin
DOID:7148	DB00443	labeledin
DOID:7148	DB01234	labeledin
DOID:2841	DB00443	labeledin
DOID:2841	DB01234	labeledin
DOID:8577	DB00443	labeledin
DOID:8577	DB01234	labeledin
DOID:3310	DB00443	labeledin
DOID:3310	DB01234	labeledin
DOID:2531	DB00443	labeledin
DOID:2531	DB01234	labeledin
DOID:9074	DB00443	labeledin
DOID:9074	DB01234	labeledin
DOID:2377	DB00443	labeledin
DOID:2377	DB01234	labeledin
DOID:7147	DB00443	labeledin
DOID:7147	DB01234	labeledin
DOID:1319	DB00443	labeledin
DOID:1319	DB01234	labeledin
DOID:4989	DB00424	labeledin
DOID:4989	DB00572	labeledin
DOID:1686	DB00819	labeledin
DOID:8893	DB00459	labeledin
DOID:9352	DB01200	labeledin
DOID:14330	DB01200	labeledin
DOID:14330	DB00989	labeledin
DOID:8577	DB01014	labeledin
DOID:10763	DB00542	labeledin
DOID:784	DB00136	labeledin
DOID:784	DB05314	labeledin
DOID:10763	DB01197	labeledin
DOID:10763	DB02032	labeledin
DOID:3393	DB01197	labeledin
DOID:3393	DB02032	labeledin
DOID:1826	DB00564	labeledin
DOID:10763	DB00796	labeledin
DOID:6364	DB00998	labeledin
DOID:6364	DB00216	labeledin
DOID:3312	DB00477	labeledin
DOID:12995	DB00477	labeledin
DOID:1826	DB00996	labeledin
DOID:9352	DB00222	labeledin
DOID:1612	DB00990	labeledin
DOID:1826	DB01068	labeledin
DOID:594	DB01068	labeledin
DOID:10763	DB00575	labeledin
DOID:13189	DB01394	labeledin
DOID:7148	DB01097	labeledin
DOID:2841	DB01410	labeledin
DOID:2531	DB00619	labeledin
DOID:1686	DB00287	labeledin
DOID:1686	DB00905	labeledin
DOID:3312	DB00555	labeledin
DOID:1826	DB00555	labeledin
DOID:10763	DB00722	labeledin
DOID:3393	DB00722	labeledin
DOID:10763	DB00700	labeledin
DOID:3393	DB00700	labeledin
DOID:7148	DB00091	labeledin
DOID:8893	DB00091	labeledin
DOID:1936	DB01098	labeledin
DOID:3393	DB01098	labeledin
DOID:1024	DB00250	labeledin
DOID:7148	DB00461	labeledin
DOID:1595	DB01149	labeledin
DOID:10763	DB00275	labeledin
DOID:3310	DB00337	labeledin
DOID:7148	DB00991	labeledin
DOID:1826	DB00776	labeledin
DOID:8986	DB00182	labeledin
DOID:8986	DB01576	labeledin
DOID:1595	DB00715	labeledin
DOID:594	DB00715	labeledin
DOID:3393	DB00758	labeledin
DOID:1826	DB00829	labeledin
DOID:7148	DB00586	labeledin
DOID:7147	DB00586	labeledin
DOID:6364	DB00586	labeledin
DOID:1324	DB00530	labeledin
DOID:7148	DB00861	labeledin
DOID:3393	DB00343	labeledin
DOID:10763	DB00343	labeledin
DOID:10763	DB00881	labeledin
DOID:10763	DB00178	labeledin
DOID:3393	DB00178	labeledin
DOID:332	DB00740	labeledin
DOID:12849	DB00734	labeledin
DOID:3312	DB00734	labeledin
DOID:263	DB01268	labeledin
DOID:2531	DB00188	labeledin
DOID:2531	DB07475	labeledin
DOID:7148	DB01399	labeledin
DOID:1595	DB01104	labeledin
DOID:1595	DB08567	labeledin
DOID:594	DB01104	labeledin
DOID:594	DB08567	labeledin
DOID:3393	DB00641	labeledin
DOID:6364	DB00669	labeledin
DOID:10763	DB00584	labeledin
DOID:1826	DB00273	labeledin
DOID:2841	DB00668	labeledin
DOID:1686	DB00668	labeledin
DOID:1826	DB00909	labeledin
DOID:10763	DB01018	labeledin
DOID:784	DB01012	labeledin
DOID:11476	DB00783	labeledin
DOID:1612	DB00783	labeledin
DOID:7148	DB00814	labeledin
DOID:3310	DB00864	labeledin
DOID:3393	DB00175	labeledin
DOID:2841	DB01003	labeledin
DOID:1686	DB00654	labeledin
DOID:635	DB00196	labeledin
DOID:4159	DB00544	labeledin
DOID:2355	DB00158	labeledin
DOID:10763	DB00695	labeledin
DOID:10652	DB00674	labeledin
DOID:3393	DB01241	labeledin
DOID:4989	DB01241	labeledin
DOID:2531	DB01254	labeledin
DOID:1612	DB01259	labeledin
DOID:9352	DB01016	labeledin
DOID:9352	DB01067	labeledin
DOID:10763	DB00727	labeledin
DOID:3393	DB00727	labeledin
DOID:263	DB00398	labeledin
DOID:10763	DB00492	labeledin
DOID:11119	DB00502	labeledin
DOID:3312	DB01224	labeledin
DOID:2531	DB00437	labeledin
DOID:9352	DB00678	labeledin
DOID:10763	DB00678	labeledin
DOID:8577	DB00244	labeledin
DOID:10763	DB01275	labeledin
DOID:10763	DB00999	labeledin
DOID:8893	DB00741	labeledin
DOID:8893	DB07886	labeledin
DOID:1595	DB00458	labeledin
DOID:1612	DB01229	labeledin
DOID:1324	DB01229	labeledin
DOID:7148	DB00328	labeledin
DOID:7147	DB00328	labeledin
DOID:9352	DB01261	labeledin
DOID:594	DB00404	labeledin
DOID:3393	DB00281	labeledin
DOID:3393	DB05291	labeledin
DOID:3393	DB00227	labeledin
DOID:1936	DB00227	labeledin
DOID:2531	DB04868	labeledin
DOID:9352	DB00331	labeledin
DOID:1324	DB00642	labeledin
DOID:7148	DB00563	labeledin
DOID:1612	DB00563	labeledin
DOID:2994	DB00563	labeledin
DOID:2531	DB00563	labeledin
DOID:184	DB00563	labeledin
DOID:8893	DB00563	labeledin
DOID:10763	DB00968	labeledin
DOID:2841	DB01223	labeledin
DOID:2355	DB00959	labeledin
DOID:9008	DB00959	labeledin
DOID:7148	DB00959	labeledin
DOID:2841	DB00959	labeledin
DOID:8577	DB00959	labeledin
DOID:3310	DB00959	labeledin
DOID:2531	DB00959	labeledin
DOID:9074	DB00959	labeledin
DOID:2377	DB00959	labeledin
DOID:7147	DB00959	labeledin
DOID:1319	DB00959	labeledin
DOID:3083	DB01409	labeledin
DOID:10763	DB00177	labeledin
DOID:3393	DB00177	labeledin
DOID:10763	DB00350	labeledin
DOID:1595	DB00321	labeledin
DOID:3393	DB00295	labeledin
DOID:1612	DB00481	labeledin
DOID:11476	DB00481	labeledin
DOID:14330	DB00268	labeledin
DOID:1612	DB01248	labeledin
DOID:1324	DB01248	labeledin
DOID:10283	DB01248	labeledin
DOID:9352	DB00912	labeledin
DOID:10763	DB00966	labeledin
DOID:1936	DB00627	labeledin
DOID:3393	DB00627	labeledin
DOID:4989	DB00627	labeledin
DOID:10763	DB01115	labeledin
DOID:14330	DB00413	labeledin
DOID:1595	DB00540	labeledin
DOID:2531	DB00399	labeledin
DOID:5408	DB00399	labeledin
DOID:11476	DB00399	labeledin
DOID:10283	DB00399	labeledin
DOID:11476	DB00621	labeledin
DOID:10763	DB01174	labeledin
DOID:10763	DB01346	labeledin
DOID:1826	DB00252	labeledin
DOID:1686	DB01085	labeledin
DOID:3393	DB01076	labeledin
DOID:7148	DB00554	labeledin
DOID:9352	DB01029	labeledin
DOID:10763	DB01029	labeledin
DOID:1612	DB01217	labeledin
DOID:635	DB00503	labeledin
DOID:10763	DB00457	labeledin
DOID:2355	DB00860	labeledin
DOID:9008	DB00860	labeledin
DOID:7148	DB00860	labeledin
DOID:2841	DB00860	labeledin
DOID:8577	DB00860	labeledin
DOID:3310	DB00860	labeledin
DOID:9074	DB00860	labeledin
DOID:2531	DB00860	labeledin
DOID:7147	DB00860	labeledin
DOID:13189	DB00860	labeledin
DOID:3083	DB00860	labeledin
DOID:2377	DB00860	labeledin
DOID:8893	DB00860	labeledin
DOID:2355	DB00635	labeledin
DOID:13189	DB00635	labeledin
DOID:9008	DB00635	labeledin
DOID:7148	DB00635	labeledin
DOID:2841	DB00635	labeledin
DOID:8577	DB00635	labeledin
DOID:3310	DB00635	labeledin
DOID:2531	DB00635	labeledin
DOID:9074	DB00635	labeledin
DOID:8893	DB00635	labeledin
DOID:7147	DB00635	labeledin
DOID:1826	DB00794	labeledin
DOID:13189	DB01032	labeledin
DOID:12361	DB00550	labeledin
DOID:6364	DB00953	labeledin
DOID:2841	DB00471	labeledin
DOID:12849	DB01238	labeledin
DOID:3312	DB01238	labeledin
DOID:12365	DB00468	labeledin
DOID:12365	DB00908	labeledin
DOID:12365	DB01346	labeledin
DOID:8577	DB00795	labeledin
DOID:7148	DB00795	labeledin
DOID:8893	DB00936	labeledin
DOID:8893	DB01294	labeledin
DOID:8893	DB01397	labeledin
DOID:8893	DB01398	labeledin
DOID:8893	DB01401	labeledin
DOID:1595	DB01037	labeledin
DOID:14330	DB01037	labeledin
DOID:8986	DB01440	labeledin
DOID:2355	DB00513	labeledin
DOID:10763	DB00421	labeledin
DOID:0050425	DB00268	medi_hps
DOID:0050425	DB00413	medi_hps
DOID:0050425	DB00564	medi_hps
DOID:0050425	DB00575	medi_lps
DOID:0050425	DB00647	medi_lps
DOID:0050425	DB00829	medi_lps
DOID:0050425	DB00988	medi_lps
DOID:0050425	DB00996	medi_lps
DOID:0050425	DB01068	medi_hps
DOID:0050425	DB01186	medi_lps
DOID:0050425	DB01235	medi_lps
DOID:0050425	DB01367	medi_lps
DOID:0050425	DB03894	medi_lps
DOID:0050425	DB05271	medi_lps
DOID:0060073	DB00291	medi_lps
DOID:0060073	DB00888	medi_hps
DOID:1024	DB00201	medi_lps
DOID:1024	DB00250	medi_hps
DOID:1024	DB00615	medi_lps
DOID:1024	DB00848	medi_lps
DOID:1024	DB01045	medi_hps
DOID:10283	DB00014	medi_hps
DOID:10283	DB00158	medi_lps
DOID:10283	DB00179	medi_lps
DOID:10283	DB00220	medi_lps
DOID:10283	DB00258	medi_lps
DOID:10283	DB00281	medi_lps
DOID:10283	DB00286	medi_lps
DOID:10283	DB00331	medi_lps
DOID:10283	DB00371	medi_lps
DOID:10283	DB00399	medi_hps
DOID:10283	DB00421	medi_lps
DOID:10283	DB00445	medi_hps
DOID:10283	DB00499	medi_hps
DOID:10283	DB00513	medi_hps
DOID:10283	DB00544	medi_lps
DOID:10283	DB00554	medi_lps
DOID:10283	DB00621	medi_lps
DOID:10283	DB00655	medi_hps
DOID:10283	DB00665	medi_hps
DOID:10283	DB00727	medi_lps
DOID:10283	DB00773	medi_hps
DOID:10283	DB00783	medi_hps
DOID:10283	DB00888	medi_lps
DOID:10283	DB00977	medi_hps
DOID:10283	DB00997	medi_hps
DOID:10283	DB01005	medi_hps
DOID:10283	DB01042	medi_lps
DOID:10283	DB01196	medi_hps
DOID:10283	DB01204	medi_hps
DOID:10283	DB01216	medi_hps
DOID:10283	DB01248	medi_hps
DOID:10283	DB01254	medi_lps
DOID:10283	DB01268	medi_lps
DOID:10283	DB01645	medi_lps
DOID:10283	DB04216	medi_lps
DOID:10283	DB04574	medi_lps
DOID:10283	DB05251	medi_lps
DOID:10283	DB05291	medi_lps
DOID:10283	DB05318	medi_lps
DOID:10283	DB05812	medi_hps
DOID:10283	DB06699	medi_hps
