rxnorm_id	fdasrs_id
44	NR7O1405Q9
74	TL2TJE8QTX
90	AAN7QOV9EA
94	C1LJO185Q9
97	A1L4914FMF
99	U6F3787206
103	E7WED276I5
110	5UTX5635HP
149	67P356D8GH
155	54EJ303F0R
161	362O9ITL9D
162	SP86R356CC
167	O3FX965V0I
168	Q40Q9N063P
178	1364PS73AF
193	6DH1W9VH8Q
194	N9YNS0M02X
197	WYQ7N0BPYC
249	1T3A50395T
270	93AKI1U6QF
272	2P3VWU3H10
281	X4HES1O11F
290	JAC85A2161
296	K72T3FS567
309	415SHH325A
318	8L70Q75FXE
362	WBB047OO38
376	K0U68Q2TXA
388	19371312D4
397	89T13OHQ2B
411	K21NZZ5Y0B
426	OF5P57N2ZX
430	F4216019LN
435	QF8SVZ843E
448	3K9958V90M
480	1N74HM2BS7
508	344S277G0Z
519	63CZ7GJN5I
521	6SW5YHA5NG
569	ZQN1G5V6SR
596	YU55MQ3IZY
598	F5TD010360
612	5QB0T2IUN0
613	03J11K103C
615	LMI26O6933
620	BF4C9Z1J53
632	50SG953SK6
641	84319SGC3C
643	N6M33094FD
644	7DZO8EB0Z3
658	0O72R8RF8A
683	88755TAZ87
689	27Y3KJK423
703	N3RQ532IUT
704	1806D8D52K
712	01Q9PC255D
719	GWH6IJ239E
722	R63VQ857OT
723	804826J2HU
725	CK833KGX7E
732	7XU7A7DROE
733	7C782967RD
742	22T8Z09XAK
784	409J2J96VR
873	U8CJK0JH5M
981	DL6OZ476V3
1001	T3CHA1B51H
1043	N21FAR7B4S
1056	04XPW8C0FL
1091	94ZLA3W45F
1098	Y4907O6MFD
1111	N712M78A8G
1115	AO61G82577
1151	PQ6CK8PD0R
1156	G4FQ3CKY5R
1157	5Z33R5TKO7
1169	30KYC7MIAI
1191	R16CO5Y76E
1202	50VV3VW0TI
1218	2GQ1IRY63P
1219	40AX66P76P
1223	7C0697DR9I
1225	F2R8V82B84
1227	3H04W2810V
1251	M801H13NRU
1256	MRK240IY2L
1272	G2B4VE5GH8
1291	58H6RWO52I
1292	H789N3FKE8
1331	25BB7EKE2E
1347	KGZ1SLC28Z
1348	5B307S63B2
1356	2ZA36H0S2V
1362	TC2D6JAD40
1369	5Q52X6ICJI
1375	A3N5ZCN45C
1378	7N6JUD5X6Y
1379	F5UM2KM3W7
1388	59NEE7PCAB
1390	1VU15B70BP
1399	U3RSY48JW5
1406	L7J6A1NE81
1418	W9WZN9A0GM
1422	0M3S43XK27
1424	1NHL2J4X8K
1426	LKG8494WBH
1512	3SCV180C9W
1514	9842X06Q6M
1516	TI05AO53L7
1520	O0ZR1R6RZ2
1588	6SO6U10H04
1596	10X0709Y6I
1599	U015TT5I8H
1621	7DP3NTV15T
1622	40S1VHN69B
1700	R57ZHV85D4
1705	N9E3X5056Q
1712	E211KPY694
1752	U182GP2CF3
1760	3A64E3G5ZO
1767	H57G17P2FN
1808	0Y2S3XUQ5H
1813	G6317AOI7K
1815	Y8335394RO
1819	40D3SCR4GZ
1827	TK65WKS8HL
1828	G1LN9045DK
1841	QV897JC36D
1848	1P9D0Z171K
1851	0GH9JX37C8
1886	3G6A5W338E
1889	P6YZ13C99Q
1894	FXC9231JVH
1895	SY7Q814VUP
1897	H0G9379FGK
1901	M4I0D6VV5M
1901	OFM21057LP
1903	25IH6R4SGF
1905	O3B55K4YKI
1908	SQE6VB453K
1909	XWV9Z12C1C
1910	PF5DZW74VN
1918	568ET80C3D
1919	97Z1WI3NDX
1919	L11K75P92J
1925	WAT0DDB505
1925	E934B3V59H
1952	5TJD82A1ET
1963	4D7G21HDBC
1987	9H8D3J7V21
1992	S07O44R1ZM
1998	9G64RSX1XD
1999	8Y164V895Y
2002	33CM23913M
2015	G42ZU72N5G
2019	MNX7R8C5VO
2023	740J2QX53R
2032	4XYU5U00C4
2034	142M471B3J
2037	7U1EE4V452
2051	7B5032XT6O
2062	05JZI7B19X
2101	21925K482H
2105	U68WG3173Y
2106	S7UI8SM58A
