medication_definition_id	medication	problem_definition_id	problem	patient_link_frequency	link_ratio	rxcui	ingredient_rxcui	ingredient_name	doid_code	doid_name
70	Albuterol Sulfate (5 MG/ML) 0.5% Inhalation Nebulization Solution	64181	Asthma	6	0.6	245314	435	Albuterol	DOID:2841	asthma
70	Albuterol Sulfate (5 MG/ML) 0.5% Inhalation Nebulization Solution	64205	Chronic Obstructive Pulmonary Disease	3	0.428571	245314	435	Albuterol	DOID:3083	chronic obstructive pulmonary disease
144	Amoxicillin 250 MG Oral Tablet Chewable	62365	Acute Nonsuppurative Otitis Media	2	1	598025	723	Amoxicillin	DOID:3697	acute nonsuppurative otitis media
147	Amoxicillin 500 MG Oral Capsule	62350	Acute Serous Otitis Media	2	0.4	308191	723	Amoxicillin	DOID:11557	acute serous otitis media
147	Amoxicillin 500 MG Oral Capsule	62577	Sinusitis	5	0.277778	308191	723	Amoxicillin	DOID:0050127	sinusitis
147	Amoxicillin 500 MG Oral Capsule	62580	Acute Maxillary Sinusitis	5	0.714286	308191	723	Amoxicillin	DOID:2050	acute maxillary sinusitis
147	Amoxicillin 500 MG Oral Capsule	62582	Acute Ethmoidal Sinusitis	2	0.666667	308191	723	Amoxicillin	DOID:9506	acute ethmoidal sinusitis
147	Amoxicillin 500 MG Oral Capsule	62760	Acute Pharyngitis	10	0.47619	308191	723	Amoxicillin	DOID:2275	acute pharyngitis
147	Amoxicillin 500 MG Oral Capsule	64118	Acute Bronchitis	3	0.111111	308191	723	Amoxicillin	DOID:6132	acute Bronchitis
147	Amoxicillin 500 MG Oral Capsule	65762	Urinary Tract Infection	44	0.586667	308191	723	Amoxicillin	DOID:13148	urinary tract infection
147	Amoxicillin 500 MG Oral Capsule	274534	Acute Sore Throat	3	0.75	308191	723	Amoxicillin	DOID:2275	acute sore throat
247	Atenolol 100 MG Oral Tablet	62975	Coronary Artery Disease	8	0.170213	197379	1202	Atenolol	DOID:3393	coronary artery disease
247	Atenolol 100 MG Oral Tablet	63467	Hypertension	44	0.346457	197379	1202	Atenolol	DOID:10763	hypertension
247	Atenolol 100 MG Oral Tablet	63468	Essential Hypertension	26	0.541667	197379	1202	Atenolol	DOID:10825	essential hypertension
247	Atenolol 100 MG Oral Tablet	63470	Benign Essential Hypertension	25	0.581395	197379	1202	Atenolol	DOID:10913	benign essential hypertension
250	Atenolol 50 MG Oral Tablet	62916	Atrial Fibrillation	9	0.219512	197381	1202	Atenolol	DOID:0060224	atrial fibrillation
250	Atenolol 50 MG Oral Tablet	62975	Coronary Artery Disease	22	0.128655	197381	1202	Atenolol	DOID:3393	coronary artery disease
250	Atenolol 50 MG Oral Tablet	63467	Hypertension	131	0.371105	197381	1202	Atenolol	DOID:10763	hypertension
250	Atenolol 50 MG Oral Tablet	63468	Essential Hypertension	90	0.545455	197381	1202	Atenolol	DOID:10825	essential hypertension
250	Atenolol 50 MG Oral Tablet	63470	Benign Essential Hypertension	73	0.544776	197381	1202	Atenolol	DOID:10913	benign essential hypertension
250	Atenolol 50 MG Oral Tablet	70472	Systemic Lupus Erythematosus	2	0.285714	197381	1202	Atenolol	DOID:9074	systemic lupus erythematosus
253	Ativan 1 MG Oral Tablet	76307	Bipolar Disorder	2	0.5	104719	6470	Lorazepam	DOID:3312	bipolar disorder
808	Coumadin 5 MG Oral Tablet	62916	Atrial Fibrillation	8	0.190476	855334	11289	Warfarin	DOID:0060224	atrial fibrillation
1103	Diltiazem HCl 30 MG Oral Tablet	63468	Essential Hypertension	3	0.6	833217	3443	Diltiazem	DOID:10825	essential hypertension
1103	Diltiazem HCl 30 MG Oral Tablet	63470	Benign Essential Hypertension	2	0.4	833217	3443	Diltiazem	DOID:10913	benign essential hypertension
1104	Diltiazem HCl 60 MG Oral Tablet	63468	Essential Hypertension	2	0.4	831103	3443	Diltiazem	DOID:10825	essential hypertension
1104	Diltiazem HCl 60 MG Oral Tablet	63470	Benign Essential Hypertension	2	0.666667	831103	3443	Diltiazem	DOID:10913	benign essential hypertension
1186	Doxycycline Hyclate 100 MG Oral Capsule	62588	Chronic Ethmoidal Sinusitis	13	0.722222	199026	3640	Doxycycline	DOID:9312	chronic ethmoidal sinusitis
1186	Doxycycline Hyclate 100 MG Oral Capsule	64205	Chronic Obstructive Pulmonary Disease	2	0.285714	199026	3640	Doxycycline	DOID:3083	chronic obstructive pulmonary disease
1186	Doxycycline Hyclate 100 MG Oral Capsule	64223	Bronchiectasis	2	0.666667	199026	3640	Doxycycline	DOID:9563	bronchiectasis
1186	Doxycycline Hyclate 100 MG Oral Capsule	65831	Prostatitis	2	0.4	199026	3640	Doxycycline	DOID:14654	prostatitis
1186	Doxycycline Hyclate 100 MG Oral Capsule	65847	Urethritis	2	0.5	199026	3640	Doxycycline	DOID:1343	urethritis
1186	Doxycycline Hyclate 100 MG Oral Capsule	66179	Cervicitis	12	0.857143	199026	3640	Doxycycline	DOID:2568	cervicitis
1186	Doxycycline Hyclate 100 MG Oral Capsule	66213	Vaginitis	2	0.2	199026	3640	Doxycycline	DOID:2170	vaginitis
1186	Doxycycline Hyclate 100 MG Oral Capsule	69606	Acne	13	0.464286	199026	3640	Doxycycline	DOID:6543	acne
1186	Doxycycline Hyclate 100 MG Oral Capsule	69607	Acne Vulgaris	5	0.833333	199026	3640	Doxycycline	DOID:6543	acne vulgaris
1186	Doxycycline Hyclate 100 MG Oral Capsule	69913	Rosacea	5	0.714286	199026	3640	Doxycycline	DOID:8881	rosacea
1186	Doxycycline Hyclate 100 MG Oral Capsule	70027	Folliculitis	4	0.266667	199026	3640	Doxycycline	DOID:4409	folliculitis
1186	Doxycycline Hyclate 100 MG Oral Capsule	77872	Pelvic Inflammatory Disease	3	0.6	199026	3640	Doxycycline	DOID:1003	pelvic inflammatory disease
1190	Doxycycline Hyclate 50 MG Oral Capsule	69606	Acne	3	0.6	199027	3640	Doxycycline	DOID:6543	acne
