medication_definition_id	medication	indications
27830	Hydrocodone-Acetaminophen 5-500 MG Oral Tablet	122
100274	TraMADol HCl 50 MG Oral Tablet	79
18240	Sulfamethoxazole-TMP DS 800-160 MG Oral Tablet	73
2716	Naproxen 500 MG Oral Tablet	72
3319	PredniSONE 5 MG Oral Tablet	66
19961	PredniSONE 20 MG Oral Tablet	62
1861	Ibuprofen 600 MG Oral Tablet	58
1862	Ibuprofen 800 MG Oral Tablet	57
19598	ClonazePAM 0.5 MG Oral Tablet	56
132850	Azithromycin 250 MG Oral Tablet	53
123407	Gabapentin 300 MG Oral Capsule	52
101123	Amoxicillin-Pot Clavulanate 875-125 MG Oral Tablet	50
13905	Cyclobenzaprine HCl 10 MG Oral Tablet	46
14858	Folic Acid 1 MG Oral Tablet	45
115187	Mupirocin 2 % External Ointment	45
111299	Ciprofloxacin HCl 500 MG Oral Tablet	45
3316	PredniSONE 10 MG Oral Tablet	43
97887	Hydrocodone-Acetaminophen 10-325 MG Oral Tablet	40
98652	NexIUM 40 MG Oral Capsule Delayed Release	40
133758	Fluticasone Propionate 50 MCG/ACT Nasal Suspension	39
114004	Ciprodex 0.3-0.1 % Otic Suspension	38
133170	Cyclobenzaprine HCl 5 MG Oral Tablet	37
25900	TraZODone HCl 50 MG Oral Tablet	37
12648	Amitriptyline HCl 10 MG Oral Tablet	33
134251	ProAir HFA 108 (90 Base) MCG/ACT Inhalation Aerosol Solution	33
122953	Gabapentin 100 MG Oral Capsule	32
21795	MethylPREDNISolone (Pak) 4 MG Oral Tablet	32
30761	CeleBREX 200 MG Oral Capsule	32
14888	Furosemide 40 MG Oral Tablet	31
100259	MetFORMIN HCl 500 MG Oral Tablet	31
139706	Physical Therapy	31
29057	Levaquin 500 MG Oral Tablet	30
134600	Sertraline HCl 100 MG Oral Tablet	30
97553	Clindamycin HCl 300 MG Oral Capsule	30
122623	Citalopram Hydrobromide 20 MG Oral Tablet	30
151619	Topiramate 25 MG Oral Tablet	29
104267	Hydrocodone-Acetaminophen 5-325 MG Oral Tablet	29
151427	DME	29
101320	Lexapro 10 MG Oral Tablet	29
14887	Furosemide 20 MG Oral Tablet	28
134194	Meloxicam 7.5 MG Oral Tablet	28
12713	Amitriptyline HCl 25 MG Oral Tablet	28
24287	Plavix 75 MG Oral Tablet	27
132991	Xopenex HFA 45 MCG/ACT Inhalation Aerosol	27
97552	Cephalexin 500 MG Oral Capsule	27
21235	Acetaminophen-Codeine #3 300-30 MG Oral Tablet	27
147377	LamoTRIgine 100 MG Oral Tablet	26
