problem_definition_id	problem	indications	name_lower	doid	name	type
63467	Hypertension	242	hypertension	DOID:10763	hypertension	name
63468	Essential Hypertension	204	essential hypertension	DOID:10825	essential hypertension	name
63470	Benign Essential Hypertension	190	benign essential hypertension	DOID:10913	benign essential hypertension	name
63470	Benign Essential Hypertension	190	benign essential hypertension	DOID:10913	benign Essential hypertension	exact-synonym
69380	Diabetes Mellitus	151	diabetes mellitus	DOID:9351	diabetes mellitus	name
69402	Diabetes Mellitus Poorly Controlled	146	diabetes mellitus poorly controlled			
69381	Type II Diabetes Mellitus	112	type ii diabetes mellitus	DOID:9352	type II diabetes mellitus	exact-synonym
76351	Depression	105	depression			
62598	Allergic Rhinitis	103	allergic rhinitis	DOID:4481	allergic rhinitis	name
74988	Seizure Disorder	98	seizure disorder			
62975	Coronary Artery Disease	88	coronary artery disease	DOID:3393	coronary artery disease	name
70455	Rheumatoid Arthritis	86	rheumatoid arthritis	DOID:7148	rheumatoid arthritis	name
77891	Acute Upper Respiratory Infection	77	acute upper respiratory infection			
76388	Bipolar Disorder NOS	77	bipolar disorder nos			
60869	Cough	76	cough			
64181	Asthma	74	asthma	DOID:2841	asthma	name
75002	Partial Complex Psychomotor Seizure With Intractable Seizure	72	partial complex psychomotor seizure with intractable seizure			
75125	Multiple Sclerosis	70	multiple sclerosis	DOID:2377	multiple sclerosis	name
67970	Hyperlipidemia	69	hyperlipidemia			
76357	Major Depression, Recurrent	67	major depression, recurrent			
75080	Parkinson's Disease	64	parkinson's disease	DOID:14330	Parkinson's disease	name
70475	Scleroderma	63	scleroderma	DOID:418	Scleroderma	exact-synonym
70475	Scleroderma	63	scleroderma	DOID:419	scleroderma	name
63217	Congestive Heart Failure	61	congestive heart failure	DOID:6000	congestive heart failure	name
64688	Esophageal Reflux	61	esophageal reflux			
91089	Lower Back Pain	60	lower back pain			
76272	Schizoaffective Disorder	57	schizoaffective disorder	DOID:5418	schizoaffective disorder	name
60899	Abdominal Pain	54	abdominal pain			
76835	HIV Infection	54	hiv infection	DOID:526	HIV infection	exact-synonym
61118	Anxiety (Symptom)	53	anxiety (symptom)			
62588	Chronic Ethmoidal Sinusitis	52	chronic ethmoidal sinusitis	DOID:9312	chronic ethmoidal sinusitis	exact-synonym
62588	Chronic Ethmoidal Sinusitis	52	chronic ethmoidal sinusitis	DOID:9312	chronic ethmoidal sinusitis	exact-synonym
69258	Hypothyroidism	52	hypothyroidism	DOID:1459	hypothyroidism	name
278350	Eczema	51	eczema	DOID:2723	eczema	exact-synonym
64118	Acute Bronchitis	51	acute bronchitis	DOID:6132	acute Bronchitis	exact-synonym
74533	Migraine Headache	51	migraine headache			
62916	Atrial Fibrillation	50	atrial fibrillation	DOID:0060224	atrial fibrillation	name
