input_rxcui	input_tty	input_name	n_ingredients	ingredient_rxcui	ingredient_name	ingredient_umlscui
349094	SCD	Budesonide 0.125 MG/ML Inhalant Solution	1	19831	Budesonide	C0054201
866414	SBD	24 HR metoprolol succinate 100 MG Extended Release Oral Tablet [Toprol]	1	6918	Metoprolol	C0025859
751616	SBD	nebivolol 10 MG Oral Tablet [Bystolic]	1	31555	nebivolol	C0068475
861027	SBD	Metformin hydrochloride 100 MG/ML Oral Solution [Riomet]	1	6809	Metformin	C0025598
1085640	SCD	Triamcinolone Acetonide 0.005 MG/MG Topical Ointment	1	10759	Triamcinolone	C0040864
866491	SCD	Hydrochlorothiazide 50 MG / Metoprolol Tartrate 100 MG Oral Tablet	2	5487	Hydrochlorothiazide	C0020261
866491	SCD	Hydrochlorothiazide 50 MG / Metoprolol Tartrate 100 MG Oral Tablet	2	6918	Metoprolol	C0025859
19257	IN	Bethanechol	1	19257	Bethanechol	C0053526
311992	SCD	Nitrofurantoin 100 MG Oral Capsule	1	7454	Nitrofurantoin	C0028156
831347	SBD	24 HR Diltiazem Hydrochloride 360 MG Extended Release Oral Capsule [Tiazac]	1	3443	Diltiazem	C0012373
1359282	BPCK	{1 (13.5 ML) (Benzoyl Peroxide 100 MG/ML Topical Cream [Clearasil]) / 1 (150 ML) (Salicylic Acid 20 MG/ML Medicated Liquid Soap [Clearasil Acne Control]) / 1 (45 ML) (Salicylic Acid 5 MG/ML Topical Lotion [Clearasil Daily Clear Hydrating Lotion]) } Pack [Clearasil Daily Clear Clear Skin]	2	1418	Benzoyl Peroxide	C0005088
1359282	BPCK	{1 (13.5 ML) (Benzoyl Peroxide 100 MG/ML Topical Cream [Clearasil]) / 1 (150 ML) (Salicylic Acid 20 MG/ML Medicated Liquid Soap [Clearasil Acne Control]) / 1 (45 ML) (Salicylic Acid 5 MG/ML Topical Lotion [Clearasil Daily Clear Hydrating Lotion]) } Pack [Clearasil Daily Clear Clear Skin]	2	9525	Salicylic Acid	C0036079
367503	SBDF	Nystatin Topical Powder [Nystop]	1	7597	Nystatin	C0028741
206842	SCD	Isosorbide Dinitrate 20 MG Oral Tablet	1	6058	Isosorbide Dinitrate	C0022252
104781	SBD	Risperidone 1 MG Oral Tablet [Risperdal]	1	35636	Risperidone	C0073393
886634	SCD	Butorphanol Tartrate 10 MG/ML Nasal Spray	1	1841	Butorphanol	C0006491
979471	SCD	Hydrochlorothiazide 25 MG / Losartan Potassium 100 MG Oral Tablet	2	5487	Hydrochlorothiazide	C0020261
979471	SCD	Hydrochlorothiazide 25 MG / Losartan Potassium 100 MG Oral Tablet	2	52175	Losartan	C0126174
404432	SBD	Sirolimus 2 MG Oral Tablet [Rapamune]	1	35302	Sirolimus	C0072980
903458	SBD	liothyronine sodium 0.005 MG Oral Tablet [Cytomel]	1	10814	Triiodothyronine	C0041014
376862	SCDF	Clonidine Transdermal Patch	1	2599	Clonidine	C0009014
854844	SBD	lisdexamfetamine dimesylate 70 MG Oral Capsule [Vyvanse]	1	700810	Lisdexamfetamine	C1873633
1050494	BPCK	{21 (drospirenone 3 MG / Ethinyl Estradiol 0.03 MG / levomefolate calcium 0.451 MG Oral Tablet) / 7 (levomefolate calcium 0.451 MG Oral Tablet) } Pack [Safyral 28 Day]	3	1025342	Levomefolic Acid	C2825462
1050494	BPCK	{21 (drospirenone 3 MG / Ethinyl Estradiol 0.03 MG / levomefolate calcium 0.451 MG Oral Tablet) / 7 (levomefolate calcium 0.451 MG Oral Tablet) } Pack [Safyral 28 Day]	3	4124	Ethinyl Estradiol	C0015011
1050494	BPCK	{21 (drospirenone 3 MG / Ethinyl Estradiol 0.03 MG / levomefolate calcium 0.451 MG Oral Tablet) / 7 (levomefolate calcium 0.451 MG Oral Tablet) } Pack [Safyral 28 Day]	3	11636	drospirenone	C0043822
847673	SBD	24 HR Levetiracetam 750 MG Extended Release Oral Tablet [Keppra]	1	114477	Levetiracetam	C0377265
1085756	SBD	Triamcinolone Acetonide 40 MG/ML Injectable Suspension [Kenalog]	1	10759	Triamcinolone	C0040864
897584	SCD	24 HR Verapamil hydrochloride 100 MG Extended Release Oral Capsule	1	11170	Verapamil	C0042523
582929	SBD	podofilox 5 MG/ML Topical Solution [Condylox]	1	8463	podofilox	C0032334
1251327	SBD	Ethinyl Estradiol 0.005 MG / norethindrone acetate 1 MG Oral Tablet [Femhrt]	2	4124	Ethinyl Estradiol	C0015011
1251327	SBD	Ethinyl Estradiol 0.005 MG / norethindrone acetate 1 MG Oral Tablet [Femhrt]	2	7514	Norethindrone	C0028356
311666	SCD	Metoclopramide 10 MG Oral Tablet	1	6915	Metoclopramide	C0025853
901543	SBD	24 HR Pramipexole dihydrochloride 0.375 MG Extended Release Oral Tablet [Mirapex]	1	746741	Pramipexole	C0074710
857004	SBD	Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet [Norco]	2	161	Acetaminophen	C0000970
857004	SBD	Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet [Norco]	2	5489	Hydrocodone	C0020264
866018	SCD	buspirone hydrochloride 15 MG Oral Tablet	1	1827	Buspirone	C0006462
797061	SBD	Omeprazole 0.667 MG/ML Oral Suspension [Prilosec]	1	7646	Omeprazole	C0028978
261314	SBD	Ivermectin 3 MG Oral Tablet [Stromectol]	1	6069	Ivermectin	C0022322
646456	SCD	Nystatin 100 UNT/MG Topical Powder	1	7597	Nystatin	C0028741
686420	SBD	Erythromycin Ethylsuccinate 80 MG/ML Oral Suspension [EryPed]	1	4053	Erythromycin	C0014806
207290	SBD	Metronidazole 500 MG Oral Tablet [Flagyl]	1	6922	Metronidazole	C0025872
993755	SCD	Acetaminophen 24 MG/ML / Codeine Phosphate 2.4 MG/ML Oral Solution	2	161	Acetaminophen	C0000970
993755	SCD	Acetaminophen 24 MG/ML / Codeine Phosphate 2.4 MG/ML Oral Solution	2	2670	Codeine	C0009214
823982	SBD	Hydrochlorothiazide 12.5 MG / Lisinopril 20 MG Oral Tablet [Zestoretic]	2	5487	Hydrochlorothiazide	C0020261
823982	SBD	Hydrochlorothiazide 12.5 MG / Lisinopril 20 MG Oral Tablet [Zestoretic]	2	29046	Lisinopril	C0065374
313996	SCD	Gentamicin Sulfate (USP) 40 MG/ML Injectable Solution	1	142438	Gentamicin Sulfate (USP)	C0546866
197527	SCD	Clonazepam 0.5 MG Oral Tablet	1	2598	Clonazepam	C0009011
897025	SBD	12 HR dalfampridine 10 MG Extended Release Oral Tablet [Ampyra]	1	897018	dalfampridine	C0000477
861834	SBD	Amylases 82000 UNT / Endopeptidases 51000 UNT / Lipase 15000 UNT Delayed Release Oral Capsule [Zenpep]	3	743	Amylases	C0002712
861834	SBD	Amylases 82000 UNT / Endopeptidases 51000 UNT / Lipase 15000 UNT Delayed Release Oral Capsule [Zenpep]	3	6406	Lipase	C0023764
861834	SBD	Amylases 82000 UNT / Endopeptidases 51000 UNT / Lipase 15000 UNT Delayed Release Oral Capsule [Zenpep]	3	8031	Endopeptidases	C0030946
197322	SCD	Alprazolam 2 MG Oral Tablet	1	596	Alprazolam	C0002333
328160	SCD	Cyclosporine 100 MG Oral Capsule	1	3008	Cyclosporine	C0010592
207035	SBD	Interferon Alfa-2b 50000000 UNT/ML Injectable Solution [Intron A]	1	5880	Interferon Alfa-2b	C0021735
996233	SBD	80 ACTUAT Levalbuterol 0.045 MG/ACTUAT Metered Dose Inhaler [Xopenex]	1	237159	Levalbuterol	C0772501
895697	SBD	Fluticasone propionate 0.00005 MG/MG Topical Ointment [Cutivate]	1	41126	fluticasone	C0082607
1367416	SBD	Ergocalciferol 50000 UNT Oral Capsule [Drisdol]	1	4018	Ergocalciferol	C0014695
802652	SBD	0.98 ML Etanercept 50 MG/ML Prefilled Syringe [Enbrel]	1	214555	Etanercept	C0717758
832890	SBDC	Potassium Chloride 20 MEQ [Klor-Con]	1	8591	Potassium Chloride	C0032825
753442	SBD	9 HR Methylphenidate 2.22 MG/HR Transdermal Patch [Daytrana]	1	6901	Methylphenidate	C0025810
197541	SCD	Colchicine 0.6 MG Oral Tablet	1	2683	Colchicine	C0009262
213178	SBD	Finasteride 1 MG Oral Tablet [Propecia]	1	25025	Finasteride	C0060389
580261	SBD	tiotropium 0.018 MG/ACTUAT Inhalant Powder [Spiriva]	1	69120	tiotropium	C0213771
204625	SCD	Riboflavin 100 MG Oral Tablet	1	9346	Riboflavin	C0035527
830719	SCD	docosahexaenoic acid 200 MG Oral Capsule	1	73	Docosahexaenoate	C0000464
835894	SCD	cyclosporine, modified 25 MG Oral Capsule	1	3008	Cyclosporine	C0010592
197558	SCD	Dapsone 25 MG Oral Tablet	1	3108	Dapsone	C0010980
204119	SCD	Malathion 5 MG/ML Topical Lotion	1	6606	Malathion	C0024547
830520	SCD	Ubiquinone 400 MG Oral Capsule	1	10975	Ubiquinone	C0041536
199924	SCD	Albuterol 0.5 MG/ML Injectable Solution	1	435	Albuterol	C0001927
1246313	SBD	120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera]	2	108118	Mometasone	C0360564
1246313	SBD	120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera]	2	25255	formoterol	C0060657
854762	SBD	Ibuprofen 40 MG/ML Oral Suspension [Motrin]	1	5640	Ibuprofen	C0020740
763183	GPCK	{48 (Prednisone 10 MG Oral Tablet) } Pack	1	8640	Prednisone	C0032952
310410	SCD	Folic Acid 1 MG Oral Tablet	1	4511	Folic Acid	C0016410
313583	SCD	24 HR venlafaxine 37.5 MG Extended Release Oral Capsule	1	39786	venlafaxine	C0078569
370420	SBDF	Testosterone Topical Gel [Testim]	1	10379	Testosterone	C0039601
213169	SBD	clopidogrel 75 MG Oral Tablet [Plavix]	1	32968	clopidogrel	C0070166
966211	SBD	Levothyroxine Sodium 0.2 MG Oral Tablet [Levoxyl]	1	10582	levothyroxine	C0040165
898344	SBD	Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel]	2	17767	Amlodipine	C0051696
898344	SBD	Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel]	2	18867	benazepril	C0053091
993687	SCD	Bupropion Hydrochloride 100 MG Oral Tablet	1	42347	Bupropion	C0085208
309078	SCD	cefpodoxime 200 MG Oral Tablet	1	20489	cefpodoxime	C0055011
849520	SCD	Desmopressin Acetate 0.1 MG/ML Nasal Solution	1	3251	desmopressin	C0011701
198369	SCD	torsemide 10 MG Oral Tablet	1	38413	torsemide	C0076840
966157	SBD	Levothyroxine Sodium 0.025 MG Oral Tablet [Levoxyl]	1	10582	levothyroxine	C0040165
197787	SCD	Hydrocortisone 5 MG Oral Tablet	1	5492	Hydrocortisone	C0020268
855191	SBD	24 HR tolterodine tartrate 4 MG Extended Release Oral Capsule [Detrol]	1	119565	tolterodine	C0388753
904475	SCD	Pravastatin Sodium 40 MG Oral Tablet	1	42463	Pravastatin	C0085542
1371985	SBD	coenzyme Q10 30 MG Oral Capsule [Q-Sorb Co Q-10]	1	21406	coenzyme Q10	C0056077
198250	SCD	Tetracycline 250 MG Oral Capsule	1	10395	Tetracycline	C0039644
993781	SCD	Acetaminophen 300 MG / Codeine Phosphate 30 MG Oral Tablet	2	161	Acetaminophen	C0000970
993781	SCD	Acetaminophen 300 MG / Codeine Phosphate 30 MG Oral Tablet	2	2670	Codeine	C0009214
834150	SBD	chlorhexidine gluconate 40 MG/ML Medicated Liquid Soap [Betasept]	1	2358	Chlorhexidine	C0008196
995624	SCD	Meclizine Hydrochloride 12.5 MG Oral Tablet	1	6676	Meclizine	C0025039
253039	SCD	Melatonin 1 MG/ML Oral Solution	1	6711	Melatonin	C0025219
1012899	SBD	fingolimod 0.5 MG Oral Capsule [Gilenya]	1	1012892	fingolimod	C1699926
213469	SBD	celecoxib 200 MG Oral Capsule [Celebrex]	1	140587	celecoxib	C0538927
310274	SCD	Famotidine 8 MG/ML Oral Suspension	1	4278	Famotidine	C0015620
1437788	SBD	Calcium Carbonate 1250 MG / Cholecalciferol 400 UNT Oral Tablet [Ostercal-D]	2	2418	Cholecalciferol	C0008318
1437788	SBD	Calcium Carbonate 1250 MG / Cholecalciferol 400 UNT Oral Tablet [Ostercal-D]	2	1897	Calcium Carbonate	C0006681
849692	SBD	Acetaminophen 650 MG / propoxyphene napsylate 100 MG Oral Tablet [Darvocet]	2	161	Acetaminophen	C0000970
849692	SBD	Acetaminophen 650 MG / propoxyphene napsylate 100 MG Oral Tablet [Darvocet]	2	8785	Propoxyphene	C0033493
966542	SBD	100 ACTUAT Beclomethasone Dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar]	1	1347	Beclomethasone	C0004905
1091212	SBD	24 HR Methylphenidate Hydrochloride 54 MG Extended Release Oral Tablet [Concerta]	1	6901	Methylphenidate	C0025810
198007	SCD	Nadolol 40 MG Oral Tablet	1	7226	Nadolol	C0027302
997398	SCD	Codeine Phosphate 2 MG/ML Oral Solution	1	2670	Codeine	C0009214
404602	SBD	aripiprazole 5 MG Oral Tablet [Abilify]	1	89013	aripiprazole	C0299792
309367	SCD	Clotrimazole 10 MG/ML Topical Cream	1	2623	Clotrimazole	C0009074
996462	SBD	Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML Oral Solution [Guiatuss AC]	2	5032	Guaifenesin	C0018305
996462	SBD	Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML Oral Solution [Guiatuss AC]	2	2670	Codeine	C0009214
312614	SCD	prednisolone 1 MG/ML Oral Solution	1	8638	prednisolone	C0032950
856457	SCD	Propranolol Hydrochloride 20 MG Oral Tablet	1	8787	Propranolol	C0033497
378092	SCDF	Lactulose Oral Solution	1	6218	Lactulose	C0022957
199123	SCD	bicalutamide 50 MG Oral Tablet	1	83008	bicalutamide	C0285590
701858	SBD	Dapsone 0.05 MG/MG Topical Gel [Aczone]	1	3108	Dapsone	C0010980
1049906	SCD	Diphenhydramine Hydrochloride 2.5 MG/ML Oral Solution	1	3498	Diphenhydramine	C0012522
866511	SCD	Metoprolol Tartrate 100 MG Oral Tablet	1	6918	Metoprolol	C0025859
905034	SBD	risedronate sodium 30 MG Oral Tablet [Actonel]	1	73056	Risedronate	C0246719
