"medication_definition_id"|"medication"|"problem_definition_id"|"problem"|"patient_link_frequency"|"link_ratio"
"70"|"Albuterol Sulfate (5 MG/ML) 0.5% Inhalation Nebulization Solution"|"64181"|"Asthma"|"6"|"0.6"
"70"|"Albuterol Sulfate (5 MG/ML) 0.5% Inhalation Nebulization Solution"|"64205"|"Chronic Obstructive Pulmonary
Disease"|"3"|"0.428571"
"72"|"Albuterol Sulfate 2 MG/5ML Oral Syrup"|"77891"|"Acute Upper Respiratory Infection"|"2"|"0.666667"
"144"|"Amoxicillin 250 MG Oral Tablet Chewable"|"62365"|"Acute Nonsuppurative Otitis Media"|"2"|"1"
"144"|"Amoxicillin 250 MG Oral Tablet Chewable"|"251528"|"Acute Otitis Media"|"2"|"1"
"147"|"Amoxicillin 500 MG Oral Capsule"|"62350"|"Acute Serous Otitis Media"|"2"|"0.4"
"147"|"Amoxicillin 500 MG Oral Capsule"|"62577"|"Sinusitis"|"5"|"0.277778"
"147"|"Amoxicillin 500 MG Oral Capsule"|"62578"|"Acute Sinusitis"|"21"|"0.428571"
"147"|"Amoxicillin 500 MG Oral Capsule"|"62580"|"Acute Maxillary Sinusitis"|"5"|"0.714286"
"147"|"Amoxicillin 500 MG Oral Capsule"|"62582"|"Acute Ethmoidal Sinusitis"|"2"|"0.666667"
"147"|"Amoxicillin 500 MG Oral Capsule"|"62733"|"Acute Tonsillitis"|"2"|"0.5"
"147"|"Amoxicillin 500 MG Oral Capsule"|"62760"|"Acute Pharyngitis"|"10"|"0.47619"
"147"|"Amoxicillin 500 MG Oral Capsule"|"64118"|"Acute Bronchitis"|"3"|"0.111111"
"147"|"Amoxicillin 500 MG Oral Capsule"|"64680"|"Chronic Reflux Esophagitis"|"2"|"0.25"
"147"|"Amoxicillin 500 MG Oral Capsule"|"64764"|"Gastritis Due To H. Pylori"|"3"|"0.375"
"147"|"Amoxicillin 500 MG Oral Capsule"|"65762"|"Urinary Tract Infection"|"44"|"0.586667"
"147"|"Amoxicillin 500 MG Oral Capsule"|"76976"|"Helicobacter Pylori (H. Pylori) Infection"|"2"|"1"
"147"|"Amoxicillin 500 MG Oral Capsule"|"77890"|"Upper Respiratory Infection"|"7"|"0.2"
"147"|"Amoxicillin 500 MG Oral Capsule"|"77891"|"Acute Upper Respiratory Infection"|"10"|"0.185185"
"147"|"Amoxicillin 500 MG Oral Capsule"|"196605"|"Rapid Bacterial Antigen Ident Kit Streptococcus Group
B"|"4"|"1"
"147"|"Amoxicillin 500 MG Oral Capsule"|"251528"|"Acute Otitis Media"|"6"|"0.352941"
"147"|"Amoxicillin 500 MG Oral Capsule"|"251575"|"Streptococcal Sore Throat"|"5"|"0.833333"
"147"|"Amoxicillin 500 MG Oral Capsule"|"274516"|"Acute Pharyngitis Streptococcus"|"6"|"0.6"
"147"|"Amoxicillin 500 MG Oral Capsule"|"274534"|"Acute Sore Throat"|"3"|"0.75"
"247"|"Atenolol 100 MG Oral Tablet"|"62975"|"Coronary Artery Disease"|"8"|"0.170213"
"247"|"Atenolol 100 MG Oral Tablet"|"63467"|"Hypertension"|"44"|"0.346457"
"247"|"Atenolol 100 MG Oral Tablet"|"63468"|"Essential Hypertension"|"26"|"0.541667"
"247"|"Atenolol 100 MG Oral Tablet"|"63470"|"Benign Essential Hypertension"|"25"|"0.581395"
"250"|"Atenolol 50 MG Oral Tablet"|"60853"|"Chest Pain Or Discomfort"|"2"|"0.222222"
"250"|"Atenolol 50 MG Oral Tablet"|"62916"|"Atrial Fibrillation"|"9"|"0.219512"
"250"|"Atenolol 50 MG Oral Tablet"|"62926"|"Premature Ventricular Contractions"|"2"|"0.25"
"250"|"Atenolol 50 MG Oral Tablet"|"62975"|"Coronary Artery Disease"|"22"|"0.128655"
"250"|"Atenolol 50 MG Oral Tablet"|"63148"|"2-vessel Coronary Artery Stenosis"|"2"|"0.222222"
"250"|"Atenolol 50 MG Oral Tablet"|"63467"|"Hypertension"|"131"|"0.371105"
"250"|"Atenolol 50 MG Oral Tablet"|"63468"|"Essential Hypertension"|"90"|"0.545455"
"250"|"Atenolol 50 MG Oral Tablet"|"63470"|"Benign Essential Hypertension"|"73"|"0.544776"
"250"|"Atenolol 50 MG Oral Tablet"|"70472"|"Systemic Lupus Erythematosus"|"2"|"0.285714"
"250"|"Atenolol 50 MG Oral Tablet"|"282270"|"Palpitations"|"5"|"0.16129"
"253"|"Ativan 1 MG Oral Tablet"|"76307"|"Bipolar Disorder"|"2"|"0.5"
"274"|"Augmentin 500-125 MG Oral Tablet"|"65762"|"Urinary Tract Infection"|"2"|"0.666667"
"308"|"Bactrim DS 800-160 MG Oral Tablet"|"65762"|"Urinary Tract Infection"|"3"|"0.6"
"808"|"Coumadin 5 MG Oral Tablet"|"62916"|"Atrial Fibrillation"|"8"|"0.190476"
"1103"|"Diltiazem HCl 30 MG Oral Tablet"|"63468"|"Essential Hypertension"|"3"|"0.6"
"1103"|"Diltiazem HCl 30 MG Oral Tablet"|"63470"|"Benign Essential Hypertension"|"2"|"0.4"
