rxnorm_id	disease_cui	n_labels	expert	crowd
10156	C0013295	2	1	0
10237	C0003873	1	0	1
10237	C0029408	1	0	1
10237	C0038013	1	0	1
10237	C0149896	1	0	1
10237	C0410022	1	0	1
10237	C0546953	1	0	1
10355	C0917801	1	1	0
10368	C0004096	1	1	0
10368	C0006266	1	1	0
10368	C0006277	1	1	0
10368	C0013990	1	1	0
10379	C0022735	3	1	0
10379	C0403818	3	1	0
10379	C0034012	1	1	0
10395	C0000925	1	0	1
10395	C0006434	1	0	1
10395	C0037278	1	0	1
10402	C0003123	1	1	0
10402	C0027497	1	1	0
10402	C0042963	1	1	0
10432	C0026764	1	1	0
10432	C0343467	1	1	0
10438	C0004096	2	1	0
10438	C0008677	2	1	0
10438	C0013990	2	1	0
10438	C0028778	2	1	0
10438	C0746102	2	1	0
10454	C0005122	1	0	1
10454	C0007222	1	0	1
10454	C0018801	1	0	1
10454	C0027813	1	0	1
10454	C0039841	1	0	1
10454	C0043121	1	0	1
10454	C0342936	1	0	1
10510	C0036341	1	0	1
105694	C0002871	1	0	1
105694	C0019693	1	0	1
10572	C0004258	1	1	0
10572	C0007115	1	1	0
10572	C0018021	1	1	0
10572	C0020676	1	1	0
10572	C0027145	1	1	0
10572	C0040137	1	1	0
10572	C0040149	1	1	0
10572	C0271789	1	1	0
10572	C0342200	1	1	0
10572	C0342208	1	1	0
10572	C0677607	1	1	0
10572	C0700502	1	1	0
10582	C0004258	1	1	0
10582	C0007115	1	1	0
10582	C0018021	1	1	0
10582	C0020676	1	1	0
10582	C0040137	1	1	0
10582	C0040149	1	1	0
10582	C0220998	1	1	0
10582	C0238298	1	1	0
10582	C0271789	1	1	0
10582	C0271790	1	1	0
10582	C0342208	1	1	0
10582	C0677607	1	1	0
10582	C0700502	1	1	0
10594	C0027947	1	0	1
10594	C0038454	1	0	1
10594	C0040053	1	0	1
10594	C0242129	1	0	1
10612	C0013370	1	0	1
10612	C0017536	1	0	1
10612	C0040921	1	0	1
10612	C0085166	1	0	1
10627	C0004623	1	0	1
10627	C0007684	1	0	1
10627	C0010674	1	0	1
10627	C0025289	1	0	1
10627	C0031154	1	0	1
10627	C0036690	1	0	1
10627	C0038160	1	0	1
10627	C0149725	1	0	1
10627	C0262655	1	0	1
10627	C0577708	1	0	1
10627	C1112209	1	0	1
10637	C0040259	18	0	1
10637	C0040247	12	0	1
10637	C0033774	11	0	1
10637	C0040252	10	0	1
10637	C1384589	7	0	1
10637	C0231772	6	0	1
10637	C0423773	3	0	1
10637	C0040253	2	0	1
10637	C0026946	1	0	1
10637	C0234233	1	0	1
10689	C0278139	2	1	0
10689	C0278140	2	1	0
10689	C0030193	1	1	0
10737	C0003469	1	1	0
10737	C0011570	1	1	0
10737	C1269683	1	1	0
10753	C0001144	1	0	1
10753	C0023487	1	0	1
10753	C0162834	1	0	1
10753	C2729169	1	0	1
10759	C0018621	3	0	1
10759	C0848309	3	0	1
10759	C0003873	2	0	1
10759	C0014488	2	0	1
10759	C0015397	2	0	1
10759	C0029077	2	0	1
10759	C0029408	2	0	1
10759	C0037274	2	0	1
10759	C0039103	2	0	1
10759	C0039520	2	0	1
10759	C0042164	2	0	1
10759	C0149896	2	0	1
10759	C0231918	2	0	1
10759	C1290159	2	0	1
10759	C1956391	2	0	1
10759	C0001403	1	0	1
10759	C0001627	1	0	1
10759	C0002171	1	0	1
10759	C0002878	1	0	1
10759	C0003872	1	0	1
10759	C0004096	1	0	1
10759	C0005138	1	0	1
10759	C0006114	1	0	1
10759	C0009324	1	0	1
10759	C0010346	1	0	1
